composition,thermal_conductivity,temperature,NComp,Comp_L2Norm,Comp_L3Norm,Comp_L5Norm,Comp_L7Norm,Comp_L10Norm,mean_Number,maxdiff_Number,dev_Number,max_Number,min_Number,most_Number,mean_MendeleevNumber,maxdiff_MendeleevNumber,dev_MendeleevNumber,max_MendeleevNumber,min_MendeleevNumber,most_MendeleevNumber,mean_AtomicWeight,maxdiff_AtomicWeight,dev_AtomicWeight,max_AtomicWeight,min_AtomicWeight,most_AtomicWeight,mean_MeltingT,maxdiff_MeltingT,dev_MeltingT,max_MeltingT,min_MeltingT,most_MeltingT,mean_Column,maxdiff_Column,dev_Column,max_Column,min_Column,most_Column,mean_Row,maxdiff_Row,dev_Row,max_Row,min_Row,most_Row,mean_CovalentRadius,maxdiff_CovalentRadius,dev_CovalentRadius,max_CovalentRadius,min_CovalentRadius,most_CovalentRadius,mean_Electronegativity,maxdiff_Electronegativity,dev_Electronegativity,max_Electronegativity,min_Electronegativity,most_Electronegativity,mean_NsValence,maxdiff_NsValence,dev_NsValence,max_NsValence,min_NsValence,most_NsValence,mean_NpValence,maxdiff_NpValence,dev_NpValence,max_NpValence,min_NpValence,most_NpValence,mean_NdValence,maxdiff_NdValence,dev_NdValence,max_NdValence,min_NdValence,most_NdValence,mean_NfValence,maxdiff_NfValence,dev_NfValence,max_NfValence,min_NfValence,most_NfValence,mean_NValance,maxdiff_NValance,dev_NValance,max_NValance,min_NValance,most_NValance,mean_NsUnfilled,maxdiff_NsUnfilled,dev_NsUnfilled,max_NsUnfilled,min_NsUnfilled,most_NsUnfilled,mean_NpUnfilled,maxdiff_NpUnfilled,dev_NpUnfilled,max_NpUnfilled,min_NpUnfilled,most_NpUnfilled,mean_NdUnfilled,maxdiff_NdUnfilled,dev_NdUnfilled,max_NdUnfilled,min_NdUnfilled,most_NdUnfilled,mean_NfUnfilled,maxdiff_NfUnfilled,dev_NfUnfilled,max_NfUnfilled,min_NfUnfilled,most_NfUnfilled,mean_NUnfilled,maxdiff_NUnfilled,dev_NUnfilled,max_NUnfilled,min_NUnfilled,most_NUnfilled,mean_GSvolume_pa,maxdiff_GSvolume_pa,dev_GSvolume_pa,max_GSvolume_pa,min_GSvolume_pa,most_GSvolume_pa,mean_GSbandgap,maxdiff_GSbandgap,dev_GSbandgap,max_GSbandgap,min_GSbandgap,most_GSbandgap,mean_GSmagmom,maxdiff_GSmagmom,dev_GSmagmom,max_GSmagmom,min_GSmagmom,most_GSmagmom,mean_SpaceGroupNumber,maxdiff_SpaceGroupNumber,dev_SpaceGroupNumber,max_SpaceGroupNumber,min_SpaceGroupNumber,most_SpaceGroupNumber,frac_sValence,frac_pValence,frac_dValence,frac_fValence,CanFormIonic,MaxIonicChar,MeanIonicChar,Class
Sm0.5Eu0.5Gd0.5Yb0.5Ti0.5Sn0.5Hf0.5Zr0.5O7,1.45,298,9,0.649220766,0.636981466,0.63636553,0.636363643,0.636363636,25.22727273,64,22.21900826,72,8,8,70.18181818,64,22.29752066,87,23,87,58.76866364,162.4906,55.4246686,178.49,15.9994,15.9994,589.3309091,2451.2,687.9712397,2506,54.8,54.8,11.90909091,13,5.396694215,16,3,16,3.272727273,4,1.619834711,6,2,2,106.9090909,132,52.0661157,198,66,66,2.686590909,2.27,0.958884298,3.44,1.17,3.44,2,0,0,2,2,2,2.636363636,4,1.73553719,4,0,4,0.772727273,10,1.194214876,10,0,0,2.181818182,14,3.371900826,14,0,0,7.590909091,14,2.67768595,18,4,6,0,0,0,0,0,0,1.454545455,4,0.925619835,4,0,2,1.5,9,2.454545455,9,0,0,1,8,1.727272727,8,0,0,3.954545455,16,2.847107438,16,0,2,16.30454545,27.355,9.163057851,36.46,9.105,9.105,0,0,0,0,0,0,1.02E-06,2.25E-05,1.96E-06,2.25E-05,0,0,77.5,217,83.36363636,229,12,12,0.263473054,0.347305389,0.101796407,0.28742515,1,0.724240177,0.306060619,None
Sm0.667Eu0.667Gd0.667TiSn0.333Hf0.333Zr0.333O7,1.71,298,8,0.653454482,0.637598715,0.636374301,0.636363766,0.636363637,23.45536364,64,19.93507438,72,8,8,68.93654545,64,23.65969312,87,23,87,54.15853182,162.4906,49.71008264,178.49,15.9994,15.9994,611.02324,2451.2,714.3348689,2506,54.8,54.8,11.75718182,13,5.53574286,16,3,16,3.212181818,4,1.54277686,6,2,2,107.2455455,132,52.49433058,198,66,66,2.683605,2.27,0.962684545,3.44,1.17,3.44,2,0,0,2,2,2,2.606,4,1.774181818,4,0,4,0.666272727,10,1.009584893,10,0,0,1.636545455,14,2.578600529,14,0,0,6.908818182,14,1.861669438,18,4,6,0,0,0,0,0,0,1.393818182,4,0.929296595,4,0,2,1.757363636,9,2.76928557,9,0,0,1.334,8,2.182666545,8,0,0,4.485181818,14,3.192334231,16,2,2,15.86236545,27.355,8.600283306,36.46,9.105,9.105,0,0,0,0,0,0,2.05E-06,2.25E-05,3.72E-06,2.25E-05,0,0,77.00181818,217,82.72958678,229,12,12,0.289485111,0.3771991,0.096438017,0.236877771,0,0.724240177,0.307141226,None
Sm0.667Eu0.667Gd0.667Ti1.5Sn0.167Hf0.167Zr0.167O7,1.9,298,8,0.659634178,0.638882926,0.636308439,0.63624986,0.636247968,22.00663516,64,17.82519521,72,8,8,68.32830394,64,24.11398757,87,23,87,50.4634581,162.4906,44.56336918,178.49,15.9994,15.9994,621.5841083,2451.2,724.7673049,2506,54.8,54.8,11.60489002,13,5.665470501,16,3,16,3.151972369,4,1.465880127,6,2,2,107.1193419,132,52.32419443,198,66,66,2.683849755,2.27,0.962198095,3.44,1.17,3.44,2,0,0,2,2,2,2.575349936,4,1.812861379,4,0,4,0.545809853,10,0.826900439,10,0,0,1.425013634,14,2.288414914,14,0,0,6.546173423,14,1.466585177,18,4,6,0,0,0,0,0,0,1.333212143,4,0.929443477,4,0,2,1.879203781,9,2.904037692,9,0,0,1.333757499,8,2.182357979,8,0,0,4.546173423,14,3.256576063,16,2,2,15.43084348,27.355,8.049609958,36.46,9.105,9.105,0,0,0,0,0,0,3.07E-06,2.25E-05,5.31E-06,2.25E-05,0,0,77.8227595,217,83.75919224,229,12,12,0.305522001,0.393413032,0.083378459,0.217686508,0,0.724240177,0.306666161,None
Sm0.667Eu0.667Gd0.667Ti2O7,2.88,298,5,0.670048656,0.64175644,0.636550902,0.636319937,0.636306021,20.5493137,56,15.97040194,64,8,8,67.72338878,64,24.53163867,87,23,87,46.74717371,141.2506,39.12997291,157.25,15.9994,15.9994,631.8463776,1886.2,734.3559028,1941,54.8,54.8,11.45377693,13,5.785576128,16,3,16,3.09117353,4,1.38864007,6,2,2,106.9779111,132,52.14896422,198,66,66,2.684409145,2.27,0.961573673,3.44,1.17,3.44,2,0,2.22E-16,2,2,2,2.545223162,4,1.851365852,4,0,4,0.424234161,2,0.64277202,2,0,0,1.212617035,7,1.984102048,7,0,0,6.182074357,6,1.025119391,10,4,6,0,0,0,0,0,0,1.272611581,2,0.925682926,2,0,2,2.000090901,9,3.030407702,9,0,0,1.333878738,8,2.182512252,8,0,0,4.60658122,14,3.317165447,16,2,2,14.99641669,27.355,7.497485106,36.46,9.105,9.105,0,0,0,0,0,0,4.10E-06,2.25E-05,6.70E-06,2.25E-05,0,0,78.61676211,217,84.77726294,229,12,12,0.323516005,0.411710215,0.06862327,0.196150509,0,0.724240177,0.306138526,None
Sm0.5Eu0.5Gd0.5Yb0.5TiHf0.5Zr0.5O7,1.36,298,8,0.652395459,0.637444052,0.636372629,0.636363752,0.636363637,23.95454545,64,20.66115702,72,8,8,68.5,64,23.54545455,87,23,87,55.54852727,162.4906,51.73189421,178.49,15.9994,15.9994,654.6,2451.2,763.3818182,2506,54.8,54.8,11.45454545,13,5.785123967,16,3,16,3.227272727,4,1.561983471,6,2,2,107.8636364,132,53.28099174,198,66,66,2.6675,2.27,0.983181818,3.44,1.17,3.44,2,0,0,2,2,2,2.545454545,4,1.851239669,4,0,4,0.409090909,2,0.632231405,2,0,0,2.181818182,14,3.371900826,14,0,0,7.136363636,14,2.301652893,18,4,6,0,0,0,0,0,0,1.272727273,2,0.925619835,2,0,2,1.863636364,9,2.880165289,9,0,0,1,8,1.727272727,8,0,0,4.136363636,16,3.095041322,16,0,2,15.55022727,27.355,8.203016529,36.46,9.105,9.105,0,0,0,0,0,0,2.05E-06,2.25E-05,3.72E-06,2.25E-05,0,0,79.90909091,217,86.42975207,229,12,12,0.280254777,0.356687898,0.057324841,0.305732484,1,0.724240177,0.313425647,None
Sm1.5Yb0.5TiZrO7,1.4,298,5,0.664942674,0.639746977,0.636436506,0.636365744,0.63636365,22.36363636,62,18.34710744,70,8,8,68.18181818,64,23.95041322,87,23,87,51.1958,157.0546,45.40065455,173.054,15.9994,15.9994,637.8272727,2073.2,742.0347107,2128,54.8,54.8,11.45454545,13,5.785123967,16,3,16,3.181818182,4,1.504132231,6,2,2,107.9545455,132,53.39669421,198,66,66,2.666818182,2.27,0.984049587,3.44,1.17,3.44,2,0,0,2,2,2,2.545454545,4,1.851239669,4,0,4,0.363636364,2,0.595041322,2,0,0,1.454545455,14,2.380165289,14,0,0,6.363636364,12,1.32231405,16,4,6,0,0,0,0,0,0,1.272727273,2,0.925619835,2,0,2,1.454545455,8,2.380165289,8,0,0,1.090909091,8,1.884297521,8,0,0,3.818181818,8,2.661157025,8,0,2,15.50227273,25.015,8.141983471,34.12,9.105,9.105,0,0,0,0,0,0,2.05E-06,2.25E-05,3.72E-06,2.25E-05,0,0,75.77272727,213,81.16528926,225,12,12,0.314285714,0.4,0.057142857,0.228571429,1,0.724240177,0.313747648,None
La0.4Ce0.4Nd0.4Sm0.4Eu0.4Zr2O7,2.06,298,7,0.666804393,0.641467916,0.636606162,0.636377766,0.636363867,23.27272727,55,19.43801653,63,8,8,66.81818182,74,25.68595041,87,13,87,53.15261709,135.9646,47.28591266,151.964,15.9994,15.9994,639.8909091,2073.2,744.661157,2128,54.8,54.8,11.45454545,13,5.785123967,16,3,16,3.272727273,4,1.619834711,6,2,2,110.4727273,141,56.60165289,207,66,66,2.638727273,2.34,1.019801653,3.44,1.1,3.44,2,0,0,2,2,2,2.545454545,4,1.851239669,4,0,4,0.436363636,2,0.650578512,2,0,0,0.654545455,7,1.118677686,7,0,0,5.636363636,6,0.905785124,9,3,6,0,0,0,0,0,0,1.272727273,2,0.925619835,2,0,2,2.109090909,9,3.14446281,9,0,0,1.381818182,13,2.361652893,13,0,0,4.763636364,20,3.517355372,22,2,2,16.50727273,28.135,9.42107438,37.24,9.105,9.105,0,0,0,0,0,0,0,0,0,0,0,0,78.43636364,217,84.5553719,229,12,12,0.35483871,0.451612903,0.077419355,0.116129032,1,0.745613369,0.325486224,None
La0.286Ce0.286Pr0.286Nd0.286Sm0.286Eu0.286Gd0.286HfZrO7,1.97,298,10,0.652736284,0.637583038,0.636263198,0.636248176,0.636247955,26.26595165,64,23.24334876,72,8,8,67.05635339,74,25.37820874,87,13,87,61.30711728,162.4906,57.65388492,178.49,15.9994,15.9994,684.5089984,2451.2,801.3021248,2506,54.8,54.8,11.45300854,13,5.78602803,16,3,16,3.364115615,4,1.735831541,6,2,2,110.3801127,141,56.4735119,207,66,66,2.636872387,2.34,1.021976603,3.44,1.1,3.44,2,0,0,2,2,2,2.54499182,4,1.851491958,4,0,4,0.441556081,2,0.653705276,2,0,0,2.00036357,14,3.065100259,14,0,0,6.986911471,15,2.316000452,18,3,6,0,0,0,0,0,0,1.27249591,2,0.925745979,2,0,2,2.156153427,9,3.192094802,9,0,0,1.455735321,13,2.457363786,13,0,0,4.884384657,20,3.670367679,22,2,2,16.32336621,28.135,9.185341473,37.24,9.105,9.105,0,0,0,0,0,0,0,0,0,0,0,0,78.38483912,217,84.47443626,229,12,12,0.286249512,0.364251333,0.063197606,0.286301548,0,0.745613369,0.326167757,None
La0.286Ce0.286Pr0.286Nd0.286Sm0.286Eu0.286Gd0.286Sn0.667Hf0.667Zr0.667O7,2.02,298,11,0.648453231,0.636841097,0.63619323,0.63619015,0.63619013,25.90493502,64,22.78188587,72,8,8,69.20630737,74,23.9489669,87,13,87,60.3349734,162.4906,56.41170841,178.49,15.9994,15.9994,574.8190821,2451.2,670.1171575,2506,54.8,54.8,12.05852949,13,5.250432498,16,3,16,3.333999818,4,1.697355035,6,2,2,108.2036717,141,53.6991188,207,66,66,2.67585204,2.34,0.97228678,3.44,1.1,3.44,2,0,0,2,2,2,2.666000182,4,1.697355035,4,0,4,0.926656366,10,1.37175124,10,0,0,1.576479142,14,2.500067843,14,0,0,7.16913569,15,2.426838965,18,3,6,0,0,0,0,0,0,1.514859584,4,0.918580673,4,0,2,1.671725893,9,2.677374687,9,0,0,1.455603017,13,2.457181718,13,0,0,4.642188494,20,3.439727199,22,2,2,16.96575798,28.135,10.00187328,37.24,9.105,9.105,0,0,0,0,0,0,0,0,0,0,0,0,75.18249568,217,80.39216028,229,12,12,0.278973657,0.37187191,0.129256358,0.219898076,0,0.745613369,0.311162449,None
Y0.2Nd0.2Sm0.2Eu0.2Er0.2AlO3,4.1,298,7,0.638748777,0.607606856,0.600493804,0.600039187,0.600001016,19.08,60,15.728,68,8,8,71.36,75,19.424,87,12,87,43.10518172,151.2596,38.97639531,167.259,15.9994,15.9994,511.694,1744.2,548.2728,1799,54.8,54.8,12.8,13,3.92,16,3,16,2.96,4,1.152,6,2,2,102.84,135,44.208,201,66,66,2.6242,2.3,0.97896,3.44,1.14,3.44,2,0,0,2,2,2,2.6,4,1.68,4,0,4,0.04,1,0.0768,1,0,0,1.16,12,1.9488,12,0,0,5.8,11,1.344,14,3,6,0,0,0,0,0,0,2.2,5,1.12,5,0,2,0.36,9,0.6912,9,0,0,1.08,10,1.8144,10,0,0,3.64,8,2.0992,10,2,2,15.457,27.355,7.6224,36.46,9.105,9.105,0,0,0,0,0,0,0,0,0,0,0,0,91.28,217,95.136,229,12,12,0.344827586,0.448275862,0.006896552,0.2,1,0.733531702,0.311780138,None
YAlO3,11.7,298,3,0.663324958,0.614463365,0.600984419,0.600078355,0.600002032,15.2,31,9.52,39,8,8,69.2,75,22.88,87,12,87,32.77711772,72.90645,22.45149291,88.90585,15.9994,15.9994,579.374,1744.2,629.4888,1799,54.8,54.8,12.8,13,3.92,16,3,16,2.8,3,0.96,5,2,2,101.8,124,42.96,190,66,66,2.63,2.22,0.972,3.44,1.22,3.44,2,0,0,2,2,2,2.6,4,1.68,4,0,4,0.2,1,0.32,1,0,0,0,0,0,0,0,0,4.8,3,1.44,6,3,6,0,0,0,0,0,0,2.2,5,1.12,5,0,2,1.8,9,2.88,9,0,0,0,0,0,0,0,0,4,7,2.4,9,2,2,15.232,23.26,7.3524,32.365,9.105,9.105,0,0,0,0,0,0,0,0,0,0,0,0,91,213,94.8,225,12,12,0.416666667,0.541666667,0.041666667,0,1,0.708320593,0.309083388,None
NdAlO3,7.5,298,3,0.663324958,0.614463365,0.600984419,0.600078355,0.600002032,19.4,52,16.24,60,8,8,70.6,68,20.64,87,19,87,43.84434772,128.2426,40.15906091,144.242,15.9994,15.9994,478.374,1239.2,508.2888,1294,54.8,54.8,12.8,13,3.92,16,3,16,3,4,1.2,6,2,2,104,135,45.6,201,66,66,2.614,2.3,0.9912,3.44,1.14,3.44,2,0,0,2,2,2,2.6,4,1.68,4,0,4,0,0,0,0,0,0,0.8,4,1.28,4,0,0,5.4,3,0.96,6,3,6,0,0,0,0,0,0,2.2,5,1.12,5,0,2,0,0,0,0,0,0,2,10,3.2,10,0,0,4.2,8,2.64,10,2,2,15.721,25.705,7.9392,34.81,9.105,9.105,0,0,0,0,0,0,0,0,0,0,0,0,91,213,94.8,225,12,12,0.37037037,0.481481481,0,0.148148148,1,0.733531702,0.316447387,None
Al2O3,8,298,2,0.721110255,0.654213262,0.615030331,0.604895199,0.60103246,10,5,2.4,13,8,8,81.4,14,6.72,87,73,87,20.39225544,10.9821386,5.271426528,26.9815386,15.9994,15.9994,406.268,878.67,421.7616,933.47,54.8,54.8,14.8,3,1.44,16,13,16,2.4,1,0.48,3,2,2,88,55,26.4,121,66,66,2.708,1.83,0.8784,3.44,1.61,3.44,2,0,0,2,2,2,2.8,3,1.44,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3,1.44,6,3,6,0,0,0,0,0,0,3.2,3,1.44,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3.2,3,1.44,5,2,2,12.055,7.375,3.54,16.48,9.105,9.105,0,0,0,0,0,0,0,0,0,0,0,0,97.2,213,102.24,225,12,12,0.416666667,0.583333333,0,0,1,0.567089816,0.272203112,None
Y2O3,27,298,2,0.721110255,0.654213262,0.615030331,0.604895199,0.60103246,20.4,31,14.88,39,8,8,57,75,36,87,12,87,45.16198,72.90645,34.995096,88.90585,15.9994,15.9994,752.48,1744.2,837.216,1799,54.8,54.8,10.8,13,6.24,16,3,16,3.2,3,1.44,5,2,2,115.6,124,59.52,190,66,66,2.552,2.22,1.0656,3.44,1.22,3.44,2,0,0,2,2,2,2.4,4,1.92,4,0,4,0.4,1,0.48,1,0,0,0,0,0,0,0,0,4.8,3,1.44,6,3,6,0,0,0,0,0,0,1.2,2,0.96,2,0,2,3.6,9,4.32,9,0,0,0,0,0,0,0,0,4.8,7,3.36,9,2,2,18.409,23.26,11.1648,32.365,9.105,9.105,0,0,0,0,0,0,0,0,0,0,0,0,84.8,182,87.36,194,12,12,0.416666667,0.5,0.083333333,0,1,0.708320593,0.339993884,None
BaZr0.2Sn0.2Ti0.2Hf0.2Nb0.2O3,0.58,298,7,0.638748777,0.607606856,0.600493804,0.600039187,0.600001016,25,64,20.64,72,8,8,64.36,78,28.4192,87,9,87,58.2329352,162.4906,51.50951706,178.49,15.9994,15.9994,626.0832,2695.2,695.220096,2750,54.8,54.8,11.24,14,5.9328,16,2,16,3.4,4,1.68,6,2,2,115.12,149,58.944,215,66,66,2.5512,2.55,1.06656,3.44,0.89,3.44,1.96,1,0.0768,2,1,2,2.48,4,1.824,4,0,4,0.8,10,1.28,10,0,0,0.56,14,1.0752,14,0,0,5.8,16,1.872,18,2,6,0.04,1,0.0768,1,0,0,1.36,4,0.9792,4,0,2,1.2,8,2.016,8,0,0,0,0,0,0,0,0,2.6,8,1.76,8,0,2,22.723,54.485,17.22952,63.59,9.105,9.105,0,0,0,0,0,0,9.01E-07,2.25E-05,1.73E-06,2.25E-05,0,0,91.08,217,94.896,229,12,12,0.337931034,0.427586207,0.137931034,0.096551724,1,0.803211356,0.343887937,None
Sc2SiO5,2.41,298,3,0.684653197,0.639653743,0.626314459,0.625147324,0.62500656,12,13,5,21,8,8,66.875,76,27.9375,87,11,87,24.7492905,28.956512,10.93736313,44.955912,15.9994,15.9994,698.625,1759.2,804.78125,1814,54.8,54.8,12.5,13,4.75,16,3,16,2.625,2,0.78125,4,2,2,97.625,104,39.53125,170,66,66,2.7275,2.08,0.890625,3.44,1.36,3.44,2,0,0,2,2,2,2.75,4,1.5625,4,0,4,0.25,1,0.375,1,0,0,0,0,0,0,0,0,5,3,1.25,6,3,6,0,0,0,0,0,0,1.75,4,0.875,4,0,2,2.25,9,3.375,9,0,0,0,0,0,0,0,0,4,7,2.5,9,2,2,13.804375,13.13,5.87421875,22.235,9.105,9.105,0.096625,0.773,0.16909375,0.773,0,0,1.59E-06,6.35E-06,2.38E-06,6.35E-06,0,0,84.375,215,90.46875,227,12,12,0.4,0.55,0.05,0,1,0.660947393,0.280827376,None
Y2SiO5,1.95,298,3,0.684653197,0.639653743,0.626314459,0.625147324,0.62500656,16.5,31,11.25,39,8,8,67.125,75,27.5625,87,12,87,35.736775,72.90645,26.5845375,88.90585,15.9994,15.9994,694.875,1744.2,800.09375,1799,54.8,54.8,12.5,13,4.75,16,3,16,2.875,3,1.09375,5,2,2,102.625,124,45.78125,190,66,66,2.6925,2.22,0.934375,3.44,1.22,3.44,2,0,0,2,2,2,2.75,4,1.5625,4,0,4,0.25,1,0.375,1,0,0,0,0,0,0,0,0,5,3,1.25,6,3,6,0,0,0,0,0,0,1.75,4,0.875,4,0,2,2.25,9,3.375,9,0,0,0,0,0,0,0,0,4,7,2.5,9,2,2,16.336875,23.26,9.03984375,32.365,9.105,9.105,0.096625,0.773,0.16909375,0.773,0,0,0,0,0,0,0,0,84.375,215,90.46875,227,12,12,0.4,0.55,0.05,0,1,0.708320593,0.298060395,None
Nd2SiO5,2.26,298,3,0.684653197,0.639653743,0.626314459,0.625147324,0.62500656,21.75,52,19.125,60,8,8,68.875,68,24.9375,87,19,87,49.5708125,128.2426,47.33559375,144.242,15.9994,15.9994,568.625,1632.2,642.28125,1687,54.8,54.8,12.5,13,4.75,16,3,16,3.125,4,1.4375,6,2,2,105.375,135,49.21875,201,66,66,2.6725,2.3,0.959375,3.44,1.14,3.44,2,0,0,2,2,2,2.75,4,1.5625,4,0,4,0,0,0,0,0,0,1,4,1.5,4,0,0,5.75,2,0.4375,6,4,6,0,0,0,0,0,0,1.75,4,0.875,4,0,2,0,0,0,0,0,0,2.5,10,3.75,10,0,0,4.25,8,2.875,10,2,2,16.948125,25.705,9.80390625,34.81,9.105,9.105,0.096625,0.773,0.16909375,0.773,0,0,0,0,0,0,0,0,84.375,215,90.46875,227,12,12,0.347826087,0.47826087,0,0.173913043,1,0.733531702,0.307519493,None
Dy2SiO5,1.02,298,3,0.684653197,0.639653743,0.626314459,0.625147324,0.62500656,23.25,58,21.375,66,8,8,71.875,56,20.4375,87,31,87,54.1353125,146.5006,54.18234375,162.5,15.9994,15.9994,666.375,1632.2,764.46875,1687,54.8,54.8,12.5,13,4.75,16,3,16,3.125,4,1.4375,6,2,2,103.125,126,46.40625,192,66,66,2.6925,2.22,0.934375,3.44,1.22,3.44,2,0,0,2,2,2,2.75,4,1.5625,4,0,4,0,0,0,0,0,0,2.5,10,3.75,10,0,0,7.25,8,2.375,12,4,6,0,0,0,0,0,0,1.75,4,0.875,4,0,2,0,0,0,0,0,0,1,4,1.5,4,0,0,2.75,2,0.9375,4,2,2,16.055625,22.135,8.68828125,31.24,9.105,9.105,0.096625,0.773,0.16909375,0.773,0,0,0,0,0,0,0,0,84.375,215,90.46875,227,12,12,0.275862069,0.379310345,0,0.344827586,1,0.708320593,0.298060395,None
Er2SiO5,1.3,298,3,0.684653197,0.639653743,0.626314459,0.625147324,0.62500656,23.75,60,22.125,68,8,8,72.875,52,18.9375,87,35,87,55.3250625,151.2596,55.96696875,167.259,15.9994,15.9994,687.625,1715.2,791.03125,1770,54.8,54.8,12.5,13,4.75,16,3,16,3.125,4,1.4375,6,2,2,102.375,123,45.46875,189,66,66,2.6975,2.2,0.928125,3.44,1.24,3.44,2,0,0,2,2,2,2.75,4,1.5625,4,0,4,0,0,0,0,0,0,3,12,4.5,12,0,0,7.75,10,3.125,14,4,6,0,0,0,0,0,0,1.75,4,0.875,4,0,2,0,0,0,0,0,0,0.5,2,0.75,2,0,0,2.25,2,0.4375,4,2,2,15.891875,21.48,8.48359375,30.585,9.105,9.105,0.096625,0.773,0.16909375,0.773,0,0,0,0,0,0,0,0,84.375,215,90.46875,227,12,12,0.258064516,0.35483871,0,0.387096774,1,0.701802721,0.295649272,None
Yb2SiO5,1.23,298,3,0.684653197,0.639653743,0.626314459,0.625147324,0.62500656,24.25,62,22.875,70,8,8,73.875,48,17.4375,87,39,87,56.7738125,157.0546,58.14009375,173.054,15.9994,15.9994,518.125,1632.2,579.15625,1687,54.8,54.8,12.5,13,4.75,16,3,16,3.125,4,1.4375,6,2,2,101.875,121,44.84375,187,66,66,2.7025,2.18,0.921875,3.44,1.26,3.44,2,0,0,2,2,2,2.75,4,1.5625,4,0,4,0,0,0,0,0,0,3.5,14,5.25,14,0,0,8.25,12,3.875,16,4,6,0,0,0,0,0,0,1.75,4,0.875,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1.75,4,0.875,4,0,2,16.775625,25.015,9.58828125,34.12,9.105,9.105,0.096625,0.773,0.16909375,0.773,0,0,0,0,0,0,0,0,92.125,215,100.15625,227,12,12,0.242424242,0.333333333,0,0.424242424,1,0.695200166,0.293220454,None
YbYSiO5,1.24,298,4,0.661437828,0.629960525,0.625119954,0.625003429,0.625000019,20.375,62,17.0625,70,8,8,70.5,75,22.5,87,12,87,46.25529375,157.0546,42.36231563,173.054,15.9994,15.9994,606.5,1744.2,689.625,1799,54.8,54.8,12.5,13,4.75,16,3,16,3,4,1.25,6,2,2,102.25,124,45.3125,190,66,66,2.6975,2.22,0.928125,3.44,1.22,3.44,2,0,0,2,2,2,2.75,4,1.5625,4,0,4,0.125,1,0.21875,1,0,0,1.75,14,3.0625,14,0,0,6.625,13,2.34375,16,3,6,0,0,0,0,0,0,1.75,4,0.875,4,0,2,1.125,9,1.96875,9,0,0,0,0,0,0,0,0,2.875,9,1.8125,9,0,2,16.55625,25.015,9.3140625,34.12,9.105,9.105,0.096625,0.773,0.16909375,0.773,0,0,0,0,0,0,0,0,88.25,215,95.3125,227,12,12,0.301886792,0.41509434,0.018867925,0.264150943,1,0.708320593,0.295652922,None
DyScSiO5,1.01,298,4,0.661437828,0.629960525,0.625119954,0.625003429,0.625000019,17.625,58,12.9375,66,8,8,69.375,76,24.1875,87,11,87,39.4423015,146.5006,32.14282725,162.5,15.9994,15.9994,682.5,1759.2,784.625,1814,54.8,54.8,12.5,13,4.75,16,3,16,2.875,4,1.09375,6,2,2,100.375,126,42.96875,192,66,66,2.71,2.22,0.9125,3.44,1.22,3.44,2,0,0,2,2,2,2.75,4,1.5625,4,0,4,0.125,1,0.21875,1,0,0,1.25,10,2.1875,10,0,0,6.125,9,1.46875,12,3,6,0,0,0,0,0,0,1.75,4,0.875,4,0,2,1.125,9,1.96875,9,0,0,0.5,4,0.875,4,0,0,3.375,7,1.71875,9,2,2,14.93,22.135,7.28125,31.24,9.105,9.105,0.096625,0.773,0.16909375,0.773,0,0,7.94E-07,6.35E-06,1.39E-06,6.35E-06,0,0,84.375,215,90.46875,227,12,12,0.326530612,0.448979592,0.020408163,0.204081633,1,0.708320593,0.289596636,None
DyErSiO5,1.24,298,4,0.661437828,0.629960525,0.625119954,0.625003429,0.625000019,23.5,60,21.75,68,8,8,72.375,56,19.6875,87,31,87,54.7301875,151.2596,55.07465625,167.259,15.9994,15.9994,677,1715.2,777.75,1770,54.8,54.8,12.5,13,4.75,16,3,16,3.125,4,1.4375,6,2,2,102.75,126,45.9375,192,66,66,2.695,2.22,0.93125,3.44,1.22,3.44,2,0,0,2,2,2,2.75,4,1.5625,4,0,4,0,0,0,0,0,0,2.75,12,4.125,12,0,0,7.5,10,2.75,14,4,6,0,0,0,0,0,0,1.75,4,0.875,4,0,2,0,0,0,0,0,0,0.75,4,1.125,4,0,0,2.5,2,0.75,4,2,2,15.97375,22.135,8.5859375,31.24,9.105,9.105,0.096625,0.773,0.16909375,0.773,0,0,0,0,0,0,0,0,84.375,215,90.46875,227,12,12,0.266666667,0.366666667,0,0.366666667,1,0.708320593,0.296857958,None
