composition,thermal_conductivity,temperature,NComp,Comp_L2Norm,Comp_L3Norm,Comp_L5Norm,Comp_L7Norm,Comp_L10Norm,mean_Number,maxdiff_Number,dev_Number,max_Number,min_Number,most_Number,mean_MendeleevNumber,maxdiff_MendeleevNumber,dev_MendeleevNumber,max_MendeleevNumber,min_MendeleevNumber,most_MendeleevNumber,mean_AtomicWeight,maxdiff_AtomicWeight,dev_AtomicWeight,max_AtomicWeight,min_AtomicWeight,most_AtomicWeight,mean_MeltingT,maxdiff_MeltingT,dev_MeltingT,max_MeltingT,min_MeltingT,most_MeltingT,mean_Column,maxdiff_Column,dev_Column,max_Column,min_Column,most_Column,mean_Row,maxdiff_Row,dev_Row,max_Row,min_Row,most_Row,mean_CovalentRadius,maxdiff_CovalentRadius,dev_CovalentRadius,max_CovalentRadius,min_CovalentRadius,most_CovalentRadius,mean_Electronegativity,maxdiff_Electronegativity,dev_Electronegativity,max_Electronegativity,min_Electronegativity,most_Electronegativity,mean_NsValence,maxdiff_NsValence,dev_NsValence,max_NsValence,min_NsValence,most_NsValence,mean_NpValence,maxdiff_NpValence,dev_NpValence,max_NpValence,min_NpValence,most_NpValence,mean_NdValence,maxdiff_NdValence,dev_NdValence,max_NdValence,min_NdValence,most_NdValence,mean_NfValence,maxdiff_NfValence,dev_NfValence,max_NfValence,min_NfValence,most_NfValence,mean_NValance,maxdiff_NValance,dev_NValance,max_NValance,min_NValance,most_NValance,mean_NsUnfilled,maxdiff_NsUnfilled,dev_NsUnfilled,max_NsUnfilled,min_NsUnfilled,most_NsUnfilled,mean_NpUnfilled,maxdiff_NpUnfilled,dev_NpUnfilled,max_NpUnfilled,min_NpUnfilled,most_NpUnfilled,mean_NdUnfilled,maxdiff_NdUnfilled,dev_NdUnfilled,max_NdUnfilled,min_NdUnfilled,most_NdUnfilled,mean_NfUnfilled,maxdiff_NfUnfilled,dev_NfUnfilled,max_NfUnfilled,min_NfUnfilled,most_NfUnfilled,mean_NUnfilled,maxdiff_NUnfilled,dev_NUnfilled,max_NUnfilled,min_NUnfilled,most_NUnfilled,mean_GSvolume_pa,maxdiff_GSvolume_pa,dev_GSvolume_pa,max_GSvolume_pa,min_GSvolume_pa,most_GSvolume_pa,mean_GSbandgap,maxdiff_GSbandgap,dev_GSbandgap,max_GSbandgap,min_GSbandgap,most_GSbandgap,mean_GSmagmom,maxdiff_GSmagmom,dev_GSmagmom,max_GSmagmom,min_GSmagmom,most_GSmagmom,mean_SpaceGroupNumber,maxdiff_SpaceGroupNumber,dev_SpaceGroupNumber,max_SpaceGroupNumber,min_SpaceGroupNumber,most_SpaceGroupNumber,frac_sValence,frac_pValence,frac_dValence,frac_fValence,CanFormIonic,MaxIonicChar,MeanIonicChar,Class
ZrB2,81.8,1500.15,2,0.745355992,0.693361274,0.670782206,0.667408235,0.666731742,16.66666667,35,15.55555556,40,5,5,62.66666667,28,12.44444444,72,44,72,37.61533333,80.413,35.73911111,91.224,10.811,10.811,2274.666667,220,97.77777778,2348,2128,2348,10,9,4,13,4,13,3,3,1.333333333,5,2,2,114.3333333,91,40.44444444,175,84,84,1.803333333,0.71,0.315555556,2.04,1.33,2.04,2,0,0,2,2,2,0.666666667,1,0.444444444,1,0,1,0.666666667,2,0.888888889,2,0,0,0,0,0,0,0,0,3.333333333,1,0.444444444,4,3,3,0,0,0,0,0,0,3.333333333,5,2.222222222,5,0,5,2.666666667,8,3.555555556,8,0,0,0,0,0,0,0,0,6,3,1.333333333,8,5,5,12.51333333,16.0225,7.121111111,23.195,7.1725,7.1725,1.016,1.524,0.677333333,1.524,0,1.524,0,0,0,0,0,0,175.3333333,28,12.44444444,194,166,166,0.6,0.2,0.2,0,0,0.118407193,0.052625419,None
ZrB2,56,298.15,2,0.745355992,0.693361274,0.670782206,0.667408235,0.666731742,16.66666667,35,15.55555556,40,5,5,62.66666667,28,12.44444444,72,44,72,37.61533333,80.413,35.73911111,91.224,10.811,10.811,2274.666667,220,97.77777778,2348,2128,2348,10,9,4,13,4,13,3,3,1.333333333,5,2,2,114.3333333,91,40.44444444,175,84,84,1.803333333,0.71,0.315555556,2.04,1.33,2.04,2,0,0,2,2,2,0.666666667,1,0.444444444,1,0,1,0.666666667,2,0.888888889,2,0,0,0,0,0,0,0,0,3.333333333,1,0.444444444,4,3,3,0,0,0,0,0,0,3.333333333,5,2.222222222,5,0,5,2.666666667,8,3.555555556,8,0,0,0,0,0,0,0,0,6,3,1.333333333,8,5,5,12.51333333,16.0225,7.121111111,23.195,7.1725,7.1725,1.016,1.524,0.677333333,1.524,0,1.524,0,0,0,0,0,0,175.3333333,28,12.44444444,194,166,166,0.6,0.2,0.2,0,0,0.118407193,0.052625419,None
Hf0.2Ta0.2Ti0.2Nb0.2Zr0.2C,5.6,298.15,6,0.547722558,0.506579702,0.500159898,0.500004571,0.500000026,27.8,67,22.96,73,6,6,61.2,34,15.8,77,43,77,65.148876,168.93718,56.5945512,180.94788,12.0107,12.0107,3173,1882,673.4,3823,1941,3823,9.2,10,4.8,14,4,14,3.6,4,1.6,6,2,2,122.4,99,46.4,175,76,76,2.002,1.25,0.548,2.55,1.3,2.55,1.9,1,0.18,2,1,2,1,2,1,2,0,2,1.3,4,1.3,4,0,0,2.8,14,4.48,14,0,0,7,15,4.6,19,4,4,0.1,1,0.18,1,0,0,2,4,2,4,0,4,3.7,8,3.7,8,0,0,0,0,0,0,0,0,5.8,4,1.8,8,4,4,12.6585,17.555,7.0185,23.195,5.64,5.64,2.248,4.496,2.248,4.496,0,4.496,2.25E-06,2.25E-05,4.06E-06,2.25E-05,0,0,201,35,11.2,229,194,194,0.271428571,0.142857143,0.185714286,0.4,1,0.323366154,0.131941697,None
Hf0.2Ta0.2Ti0.2Nb0.2Mo0.2C,5.9,298.15,6,0.547722558,0.506579702,0.500159898,0.500004571,0.500000026,28,67,23.2,73,6,6,61.8,34,15.2,77,43,77,65.622476,168.93718,57.1628712,180.94788,12.0107,12.0107,3249.8,1882,581.24,3823,1941,3823,9.4,10,4.6,14,4,14,3.6,4,1.6,6,2,2,120.3,99,44.3,175,76,76,2.085,1.25,0.48,2.55,1.3,2.55,1.8,1,0.32,2,1,2,1,2,1,2,0,2,1.6,5,1.6,5,0,0,2.8,14,4.48,14,0,0,7.2,15,4.52,19,4,4,0.2,1,0.32,1,0,0,2,4,2,4,0,4,3.4,8,3.4,8,0,0,0,0,0,0,0,0,5.6,4,1.6,8,4,4,11.908,16.56,6.268,22.2,5.64,5.64,2.248,4.496,2.248,4.496,0,4.496,2.25E-06,2.25E-05,4.06E-06,2.25E-05,0,0,204.5,35,14.7,229,194,194,0.25,0.138888889,0.222222222,0.388888889,1,0.323366154,0.112652871,None
La0.4Ce0.4Nd0.4Sm0.4Eu0.4Zr2O7,0.76,298.15,7,0.666804393,0.641467916,0.636606162,0.636377766,0.636363867,23.27272727,55,19.43801653,63,8,8,66.81818182,74,25.68595041,87,13,87,53.15261709,135.9646,47.28591266,151.964,15.9994,15.9994,639.8909091,2073.2,744.661157,2128,54.8,54.8,11.45454545,13,5.785123967,16,3,16,3.272727273,4,1.619834711,6,2,2,110.4727273,141,56.60165289,207,66,66,2.638727273,2.34,1.019801653,3.44,1.1,3.44,2,0,0,2,2,2,2.545454545,4,1.851239669,4,0,4,0.436363636,2,0.650578512,2,0,0,0.654545455,7,1.118677686,7,0,0,5.636363636,6,0.905785124,9,3,6,0,0,0,0,0,0,1.272727273,2,0.925619835,2,0,2,2.109090909,9,3.14446281,9,0,0,1.381818182,13,2.361652893,13,0,0,4.763636364,20,3.517355372,22,2,2,16.50727273,28.135,9.42107438,37.24,9.105,9.105,0,0,0,0,0,0,0,0,0,0,0,0,78.43636364,217,84.5553719,229,12,12,0.35483871,0.451612903,0.077419355,0.116129032,1,0.745613369,0.325486224,None
La0.2Ce0.2Nd0.2Sm0.2Eu0.2PO4,2.08,298.15,7,0.691214712,0.670258392,0.666797032,0.66667248,0.66666673,17.83333333,55,14.05555556,63,8,8,75,74,18.66666667,87,13,87,40.01480933,135.9646,35.03422822,151.964,15.9994,15.9994,289.35,1290.2,312.7333333,1345,54.8,54.8,13.66666667,13,3.555555556,16,3,16,2.833333333,4,1.111111111,6,2,2,95.43333333,141,39.24444444,207,66,66,2.848833333,2.34,0.788222222,3.44,1.1,3.44,2,0,0,2,2,2,3.166666667,4,1.111111111,4,0,4,0.066666667,1,0.124444444,1,0,0,0.6,7,1.04,7,0,0,5.833333333,6,0.588888889,9,3,6,0,0,0,0,0,0,1.833333333,3,0.611111111,3,0,2,0.6,9,1.12,9,0,0,1.266666667,13,2.195555556,13,0,0,3.7,20,2.5,22,2,2,15.78628968,28.135,8.908386243,37.24,9.105,9.105,0.270833333,1.625,0.451388889,1.625,0,0,0,0,0,0,0,0,40.9,227,51.5,229,2,12,0.342857143,0.542857143,0.011428571,0.102857143,1,0.745613369,0.247973234,None
LaPO4,3.61,298.15,3,0.707106781,0.673540003,0.66692688,0.666678292,0.666666794,17.33333333,49,13.22222222,57,8,8,74,74,20.33333333,87,13,87,38.979472,122.90607,33.308666,138.90547,15.9994,15.9994,288.25,1138.2,311.2666667,1193,54.8,54.8,13.66666667,13,3.555555556,16,3,16,2.833333333,4,1.111111111,6,2,2,96.33333333,141,40.44444444,207,66,66,2.841666667,2.34,0.797777778,3.44,1.1,3.44,2,0,0,2,2,2,3.166666667,4,1.111111111,4,0,4,0.166666667,1,0.277777778,1,0,0,0,0,0,0,0,0,5.333333333,3,0.888888889,6,3,6,0,0,0,0,0,0,1.833333333,3,0.611111111,3,0,2,1.5,9,2.5,9,0,0,0,0,0,0,0,0,3.333333333,7,1.888888889,9,2,2,15.98128968,27.7925,9.168386243,36.8975,9.105,9.105,0.270833333,1.625,0.451388889,1.625,0,0,0,0,0,0,0,0,40.66666667,192,51.11111111,194,2,12,0.375,0.59375,0.03125,0,1,0.745613369,0.25182737,None
CePO4,3.14,298.15,3,0.707106781,0.673540003,0.66692688,0.666678292,0.666666794,17.5,50,13.5,58,8,8,74.33333333,72,19.77777778,87,15,87,39.181227,124.1166,33.64492433,140.116,15.9994,15.9994,267.9166667,1016.2,284.1555556,1071,54.8,54.8,13.66666667,13,3.555555556,16,3,16,2.833333333,4,1.111111111,6,2,2,95.83333333,138,39.77777778,204,66,66,2.845,2.32,0.793333333,3.44,1.12,3.44,2,0,0,2,2,2,3.166666667,4,1.111111111,4,0,4,0.166666667,1,0.277777778,1,0,0,0.166666667,1,0.277777778,1,0,0,5.5,2,0.666666667,6,4,6,0,0,0,0,0,0,1.833333333,3,0.611111111,3,0,2,1.5,9,2.5,9,0,0,2.166666667,13,3.611111111,13,0,0,5.5,20,5.5,22,2,2,16.03837302,28.135,9.244497354,37.24,9.105,9.105,0.270833333,1.625,0.451388889,1.625,0,0,0,0,0,0,0,0,40.66666667,192,51.11111111,194,2,12,0.363636364,0.575757576,0.03030303,0.03030303,1,0.739616569,0.250046516,None
NdPO4,3.05,298.15,3,0.707106781,0.673540003,0.66692688,0.666678292,0.666666794,17.83333333,52,14.05555556,60,8,8,75,68,18.66666667,87,19,87,39.86889367,128.2426,34.79103544,144.242,15.9994,15.9994,305.0833333,1239.2,333.7111111,1294,54.8,54.8,13.66666667,13,3.555555556,16,3,16,2.833333333,4,1.111111111,6,2,2,95.33333333,135,39.11111111,201,66,66,2.848333333,2.3,0.788888889,3.44,1.14,3.44,2,0,0,2,2,2,3.166666667,4,1.111111111,4,0,4,0,0,0,0,0,0,0.666666667,4,1.111111111,4,0,0,5.833333333,1,0.277777778,6,5,6,0,0,0,0,0,0,1.833333333,3,0.611111111,3,0,2,0,0,0,0,0,0,1.666666667,10,2.777777778,10,0,0,3.5,8,2.166666667,10,2,2,15.63337302,25.705,8.704497354,34.81,9.105,9.105,0.270833333,1.625,0.451388889,1.625,0,0,0,0,0,0,0,0,40.66666667,192,51.11111111,194,2,12,0.342857143,0.542857143,0,0.114285714,1,0.733531702,0.24824966,None
SmPO4,2.87,298.15,3,0.707106781,0.673540003,0.66692688,0.666678292,0.666666794,18.16666667,54,14.61111111,62,8,8,75.66666667,64,17.55555556,87,23,87,40.88856033,134.3606,36.49047989,150.36,15.9994,15.9994,313.5833333,1290.2,345.0444444,1345,54.8,54.8,13.66666667,13,3.555555556,16,3,16,2.833333333,4,1.111111111,6,2,2,94.83333333,132,38.44444444,198,66,66,2.853333333,2.27,0.782222222,3.44,1.17,3.44,2,0,0,2,2,2,3.166666667,4,1.111111111,4,0,4,0,0,0,0,0,0,1,6,1.666666667,6,0,0,6.166666667,3,0.611111111,8,5,6,0,0,0,0,0,0,1.833333333,3,0.611111111,3,0,2,0,0,0,0,0,0,1.333333333,8,2.222222222,8,0,0,3.166666667,6,1.611111111,8,2,2,15.37003968,24.125,8.353386243,33.23,9.105,9.105,0.270833333,1.625,0.451388889,1.625,0,0,0,0,0,0,0,0,36,164,43.33333333,166,2,12,0.324324324,0.513513514,0,0.162162162,1,0.724240177,0.245525047,None
EuPO4,2.99,298.15,3,0.707106781,0.673540003,0.66692688,0.666678292,0.666666794,18.33333333,55,14.88888889,63,8,8,76,62,17,87,25,87,41.15589367,135.9646,36.93603544,151.964,15.9994,15.9994,271.9166667,1040.2,289.4888889,1095,54.8,54.8,13.66666667,13,3.555555556,16,3,16,2.833333333,4,1.111111111,6,2,2,94.83333333,132,38.44444444,198,66,66,2.855833333,2.255,0.778888889,3.44,1.185,3.44,2,0,0,2,2,2,3.166666667,4,1.111111111,4,0,4,0,0,0,0,0,0,1.166666667,7,1.944444444,7,0,0,6.333333333,4,0.888888889,9,5,6,0,0,0,0,0,0,1.833333333,3,0.611111111,3,0,2,0,0,0,0,0,0,1.166666667,7,1.944444444,7,0,0,3,5,1.333333333,7,2,2,15.90837302,27.355,9.071164021,36.46,9.105,9.105,0.270833333,1.625,0.451388889,1.625,0,0,0,0,0,0,0,0,46.5,227,60.83333333,229,2,12,0.315789474,0.5,0,0.184210526,1,0.719520951,0.244149837,None
Mo0.2Nb0.2Ta0.2Ti0.2W0.2Si2,6.9,298.15,6,0.683130051,0.667775931,0.666673333,0.666666714,0.666666667,26.13333333,60,16.72888889,74,14,14,67.93333333,35,13.42222222,78,43,78,58.825084,155.7545,42.44718987,183.84,28.0855,28.0855,2096.133333,2008,566.1955556,3695,1687,1687,11.06666667,10,3.911111111,14,4,14,3.733333333,3,0.977777778,6,3,3,128,59,22.66666667,170,111,111,1.877333333,0.86,0.132266667,2.36,1.5,1.9,1.866666667,1,0.231111111,2,1,2,1.333333333,2,0.888888889,2,0,2,1.2,5,1.6,5,0,0,1.866666667,14,3.235555556,14,0,0,6.266666667,16,3.528888889,20,4,4,0.133333333,1,0.231111111,1,0,0,2.666666667,4,1.777777778,4,0,4,2.133333333,8,2.844444444,8,0,0,0,0,0,0,0,0,4.933333333,4,1.244444444,8,4,4,19.27533333,4.75,1.552888889,20.44,15.69,20.44,0.515333333,0.773,0.343555556,0.773,0,0.773,1.50E-06,2.25E-05,2.80E-06,2.25E-05,0,0,225.3333333,35,4.177777778,229,194,227,0.29787234,0.212765957,0.191489362,0.29787234,0,0.168812602,0.020961713,None
