Symbol,Number,MendeleevNumber,AtomicWeight,MeltingT,Column,Row,CovalentRadius,Electronegativity,NsValence,NpValence,NdValence,NfValence,NValance,NsUnfilled,NpUnfilled,NdUnfilled,NfUnfilled,NUnfilled,GSvolume_pa,GSbandgap,GSmagmom,SpaceGroupNumber,OxidationStates
H,1,92,1.00794,14.01,1,1,31,2.2,1,0,0,0,1,1,0,0,0,1,6.615,7.853,0.0,194,-1 1
He,2,98,4.002602,Missing,18,1,28,Missing,2,0,0,0,2,0,0,0,0,0,12.305,18.098,0.0,225,
Li,3,1,6.941,453.69,1,2,128,0.98,1,0,0,0,1,1,0,0,0,1,16.5933333333,0.0,0.0,229,1
Be,4,67,9.012182,1560,2,2,96,1.57,2,0,0,0,2,0,0,0,0,0,7.89,0.0,0.0,194,2
B,5,72,10.811,2348,13,2,84,2.04,2,1,0,0,3,0,5,0,0,5,7.1725,1.524,0.0,166,3
C,6,77,12.0107,3823,14,2,76,2.55,2,2,0,0,4,0,4,0,0,4,5.64,4.496,0.0,194,-4 2 4
N,7,82,14.0067,63.05,15,2,71,3.04,2,3,0,0,5,0,3,0,0,3,14.76875,6.437,0.0,194,-3 -2 -1 1 2 3 4 5
O,8,87,15.9994,54.8,16,2,66,3.44,2,4,0,0,6,0,2,0,0,2,9.105,0.0,0.0,12,-2
F,9,93,18.9984032,53.5,17,2,57,3.98,2,5,0,0,7,0,1,0,0,1,9.7075,1.97,0.0,15,-1
Ne,10,99,20.1791,24.56,18,2,58,Missing,2,6,0,0,8,0,0,0,0,0,12.64,13.088,0.0,225,
Na,11,2,22.98976928,370.87,1,3,166,0.93,1,0,0,0,1,1,0,0,0,1,29.2433333333,0.0,0.0,229,1
Mg,12,68,24.305,923,2,3,141,1.31,2,0,0,0,2,0,0,0,0,0,22.89,0.0,0.0,194,2
Al,13,73,26.9815386,933.47,13,3,121,1.61,2,1,0,0,3,0,5,0,0,5,16.48,0.0,0.0,225,3
Si,14,78,28.0855,1687,14,3,111,1.9,2,2,0,0,4,0,4,0,0,4,20.44,0.773,0.0,227,-4 2 4
P,15,83,30.973762,317.3,15,3,107,2.19,2,3,0,0,5,0,3,0,0,3,22.5702380952,1.625,0.0,2,-3 3 5
S,16,88,32.065,388.36,16,3,105,2.58,2,4,0,0,6,0,2,0,0,2,25.786875,2.202,0.0,70,-2 4 6
Cl,17,94,35.453,171.6,17,3,102,3.16,2,5,0,0,7,0,1,0,0,1,24.4975,2.493,0.0,64,-1 1 5 7
Ar,18,100,39.948,83.8,18,3,106,Missing,2,6,0,0,8,0,0,0,0,0,28.54,9.26,0.0,225,
K,19,3,39.0983,336.53,1,4,203,0.82,1,0,0,0,1,1,0,0,0,1,73.1066666667,0.0,0.0,229,1
