composition,temperature,NComp,mean_Number,maxdiff_Number,dev_Number,min_Number,most_Number,mean_MendeleevNumber,maxdiff_MendeleevNumber,dev_MendeleevNumber,max_MendeleevNumber,most_MendeleevNumber,maxdiff_MeltingT,dev_MeltingT,max_MeltingT,maxdiff_Column,dev_Column,maxdiff_Row,dev_Row,mean_Electronegativity,maxdiff_NsValence,dev_NpValence,maxdiff_NdValence,dev_NdValence,max_NdValence,mean_NfValence,most_NfValence,mean_NValance,maxdiff_NValance,min_NValance,most_NValance,mean_NpUnfilled,maxdiff_NpUnfilled,most_NpUnfilled,mean_NdUnfilled,maxdiff_NdUnfilled,dev_NdUnfilled,mean_NfUnfilled,mean_NUnfilled,maxdiff_NUnfilled,dev_NUnfilled,min_NUnfilled,mean_GSvolume_pa,maxdiff_GSvolume_pa,dev_GSvolume_pa,min_GSvolume_pa,most_GSvolume_pa,most_GSbandgap,max_SpaceGroupNumber,CanFormIonic,thermal_conductivity
Mg0.167Ni0.167Cu0.167Co0.167Zn0.167Sb0.167O,298.0,7,18.76073926,43,11.87790481,8,8.0,77.24025974,29,11.04457231,87,87.0,1713.2,587.0352475,1768.0,14,3.431413242,3,1.000165668,2.610839161,1,1.875414795,10,4.376245632,10,0.0,0.0,7.918581419,13,2,6.0,1.249250749,3,2.0,0.417082917,3,0.694999306,0.0,1.74975025,3,0.708915959,0,12.89336414,22.455,4.959934633,9.105,9.105,0.0,225,0,1.41
Mg0.167Ni0.167Cu0.167Co0.167Zn0.167Sn0.167O,298.0,7,18.67732268,42,11.78065491,8,8.0,76.82317682,29,10.69665599,87,87.0,1713.2,571.1749591,1768.0,14,3.361829978,3,1.000165668,2.603331668,1,1.833331504,10,4.376245632,10,0.0,0.0,7.835164835,12,2,6.0,1.332667333,4,2.0,0.417082917,3,0.694999306,0.0,1.833166833,4,0.750665917,0,13.03725774,24.18,5.175703168,9.105,9.105,0.0,225,0,1.44
Mg0.167Ni0.167Cu0.167Co0.167Zn0.167Cr0.167O,298.0,7,16.50849151,22,9.252157433,8,8.0,74.23726274,38,12.74998728,87,87.0,2125.2,702.7628645,2180.0,14,3.833329508,2,0.916665752,2.578306693,1,1.999998004,10,3.889996118,10,0.0,0.0,7.167832168,10,2,6.0,0.999000999,2,2.0,0.834165834,5,1.250832085,0.0,2.0,6,0.834165834,0,11.19416833,13.785,2.412685092,9.105,9.105,0.0,229,0,1.64
Mg0.167Ni0.167Cu0.167Co0.167Zn0.167Ge0.167O,298.0,7,17.17582418,24,10.03015666,8,8.0,76.73976024,29,10.62707273,87,87.0,1713.2,612.6702219,1768.0,14,3.361829978,2,0.916665752,2.607502498,1,1.833331504,10,4.376245632,10,0.0,0.0,7.835164835,12,2,6.0,1.332667333,4,2.0,0.417082917,3,0.694999306,0.0,1.833166833,4,0.750665917,0,12.17973526,13.9,3.889847785,9.105,9.105,0.0,225,0,1.6
Sn0.525Ge0.15Pb0.75Mn0.275,900.0,4,58.48529412,57,20.7482699,25,82.0,75.82352941,29,7.707612457,81,81.0,1013.92,318.4354412,1519.0,7,1.898356401,2,0.71366782,2.061323529,0,0.542387543,5,1.355968858,10,6.176470588,14.0,19.04411765,21,7,28.0,3.352941176,4,4.0,0.808823529,5,1.355968858,0.0,4.161764706,1,0.271193772,4,26.407036,22.79741379,5.750769523,10.48758621,28.11,0.0,225,0,0.32
Lu2Zr2O7,298.0,3,25.27272727,63,21.98347107,8,8.0,70.81818182,46,20.59504132,87,87.0,2073.2,915.0677686,2128.0,13,5.785123967,4,1.619834711,2.661818182,0,1.851239669,2,0.694214876,2,2.545454545,0.0,7.636363636,13,4,6.0,1.272727273,2,2.0,3.090909091,9,3.933884298,0.0,4.363636364,7,3.008264463,2,15.25954545,19.76,7.833057851,9.105,9.105,0.0,194,1,2.6
Lu2Zr2O7,500.0,3,25.27272727,63,21.98347107,8,8.0,70.81818182,46,20.59504132,87,87.0,2073.2,915.0677686,2128.0,13,5.785123967,4,1.619834711,2.661818182,0,1.851239669,2,0.694214876,2,2.545454545,0.0,7.636363636,13,4,6.0,1.272727273,2,2.0,3.090909091,9,3.933884298,0.0,4.363636364,7,3.008264463,2,15.25954545,19.76,7.833057851,9.105,9.105,0.0,194,1,1.85
Lu2Zr2O7,700.0,3,25.27272727,63,21.98347107,8,8.0,70.81818182,46,20.59504132,87,87.0,2073.2,915.0677686,2128.0,13,5.785123967,4,1.619834711,2.661818182,0,1.851239669,2,0.694214876,2,2.545454545,0.0,7.636363636,13,4,6.0,1.272727273,2,2.0,3.090909091,9,3.933884298,0.0,4.363636364,7,3.008264463,2,15.25954545,19.76,7.833057851,9.105,9.105,0.0,194,1,1.7
Lu2Zr2O7,900.0,3,25.27272727,63,21.98347107,8,8.0,70.81818182,46,20.59504132,87,87.0,2073.2,915.0677686,2128.0,13,5.785123967,4,1.619834711,2.661818182,0,1.851239669,2,0.694214876,2,2.545454545,0.0,7.636363636,13,4,6.0,1.272727273,2,2.0,3.090909091,9,3.933884298,0.0,4.363636364,7,3.008264463,2,15.25954545,19.76,7.833057851,9.105,9.105,0.0,194,1,1.85
Lu2Zr2O7,1100.0,3,25.27272727,63,21.98347107,8,8.0,70.81818182,46,20.59504132,87,87.0,2073.2,915.0677686,2128.0,13,5.785123967,4,1.619834711,2.661818182,0,1.851239669,2,0.694214876,2,2.545454545,0.0,7.636363636,13,4,6.0,1.272727273,2,2.0,3.090909091,9,3.933884298,0.0,4.363636364,7,3.008264463,2,15.25954545,19.76,7.833057851,9.105,9.105,0.0,194,1,2.0
Lu2Zr2O7,1300.0,3,25.27272727,63,21.98347107,8,8.0,70.81818182,46,20.59504132,87,87.0,2073.2,915.0677686,2128.0,13,5.785123967,4,1.619834711,2.661818182,0,1.851239669,2,0.694214876,2,2.545454545,0.0,7.636363636,13,4,6.0,1.272727273,2,2.0,3.090909091,9,3.933884298,0.0,4.363636364,7,3.008264463,2,15.25954545,19.76,7.833057851,9.105,9.105,0.0,194,1,2.2
Sm2Zr2O7,298.0,3,23.63636364,54,19.90082645,8,8.0,67.54545455,64,24.76033058,87,87.0,2073.2,778.307438,2128.0,13,5.785123967,4,1.619834711,2.643636364,0,1.851239669,2,0.595041322,2,1.090909091,0.0,6.0,4,4,6.0,1.272727273,2,2.0,1.454545455,8,2.380165289,1.454545455,4.181818182,6,2.776859504,2,16.05318182,24.125,8.843140496,9.105,9.105,0.0,194,1,2.0
Sm2Zr2O7,500.0,3,23.63636364,54,19.90082645,8,8.0,67.54545455,64,24.76033058,87,87.0,2073.2,778.307438,2128.0,13,5.785123967,4,1.619834711,2.643636364,0,1.851239669,2,0.595041322,2,1.090909091,0.0,6.0,4,4,6.0,1.272727273,2,2.0,1.454545455,8,2.380165289,1.454545455,4.181818182,6,2.776859504,2,16.05318182,24.125,8.843140496,9.105,9.105,0.0,194,1,1.7
Sm2Zr2O7,700.0,3,23.63636364,54,19.90082645,8,8.0,67.54545455,64,24.76033058,87,87.0,2073.2,778.307438,2128.0,13,5.785123967,4,1.619834711,2.643636364,0,1.851239669,2,0.595041322,2,1.090909091,0.0,6.0,4,4,6.0,1.272727273,2,2.0,1.454545455,8,2.380165289,1.454545455,4.181818182,6,2.776859504,2,16.05318182,24.125,8.843140496,9.105,9.105,0.0,194,1,1.6
Sm2Zr2O7,900.0,3,23.63636364,54,19.90082645,8,8.0,67.54545455,64,24.76033058,87,87.0,2073.2,778.307438,2128.0,13,5.785123967,4,1.619834711,2.643636364,0,1.851239669,2,0.595041322,2,1.090909091,0.0,6.0,4,4,6.0,1.272727273,2,2.0,1.454545455,8,2.380165289,1.454545455,4.181818182,6,2.776859504,2,16.05318182,24.125,8.843140496,9.105,9.105,0.0,194,1,1.6
Sm2Zr2O7,1100.0,3,23.63636364,54,19.90082645,8,8.0,67.54545455,64,24.76033058,87,87.0,2073.2,778.307438,2128.0,13,5.785123967,4,1.619834711,2.643636364,0,1.851239669,2,0.595041322,2,1.090909091,0.0,6.0,4,4,6.0,1.272727273,2,2.0,1.454545455,8,2.380165289,1.454545455,4.181818182,6,2.776859504,2,16.05318182,24.125,8.843140496,9.105,9.105,0.0,194,1,1.75
Sm2Zr2O7,1300.0,3,23.63636364,54,19.90082645,8,8.0,67.54545455,64,24.76033058,87,87.0,2073.2,778.307438,2128.0,13,5.785123967,4,1.619834711,2.643636364,0,1.851239669,2,0.595041322,2,1.090909091,0.0,6.0,4,4,6.0,1.272727273,2,2.0,1.454545455,8,2.380165289,1.454545455,4.181818182,6,2.776859504,2,16.05318182,24.125,8.843140496,9.105,9.105,0.0,194,1,1.8
La2Zr2O7,298.0,3,22.72727273,49,18.74380165,8,8.0,65.72727273,74,27.07438017,87,87.0,2073.2,743.1338843,2128.0,13,5.785123967,4,1.619834711,2.630909091,0,1.851239669,2,0.694214876,2,0.0,0.0,5.090909091,3,3,6.0,1.272727273,2,2.0,3.090909091,9,3.933884298,0.0,4.363636364,7,3.008264463,2,16.72,27.7925,9.691818182,9.105,9.105,0.0,194,1,2.6
La2Zr2O7,500.0,3,22.72727273,49,18.74380165,8,8.0,65.72727273,74,27.07438017,87,87.0,2073.2,743.1338843,2128.0,13,5.785123967,4,1.619834711,2.630909091,0,1.851239669,2,0.694214876,2,0.0,0.0,5.090909091,3,3,6.0,1.272727273,2,2.0,3.090909091,9,3.933884298,0.0,4.363636364,7,3.008264463,2,16.72,27.7925,9.691818182,9.105,9.105,0.0,194,1,2.4
La2Zr2O7,700.0,3,22.72727273,49,18.74380165,8,8.0,65.72727273,74,27.07438017,87,87.0,2073.2,743.1338843,2128.0,13,5.785123967,4,1.619834711,2.630909091,0,1.851239669,2,0.694214876,2,0.0,0.0,5.090909091,3,3,6.0,1.272727273,2,2.0,3.090909091,9,3.933884298,0.0,4.363636364,7,3.008264463,2,16.72,27.7925,9.691818182,9.105,9.105,0.0,194,1,2.25
La2Zr2O7,900.0,3,22.72727273,49,18.74380165,8,8.0,65.72727273,74,27.07438017,87,87.0,2073.2,743.1338843,2128.0,13,5.785123967,4,1.619834711,2.630909091,0,1.851239669,2,0.694214876,2,0.0,0.0,5.090909091,3,3,6.0,1.272727273,2,2.0,3.090909091,9,3.933884298,0.0,4.363636364,7,3.008264463,2,16.72,27.7925,9.691818182,9.105,9.105,0.0,194,1,2.0
La2Zr2O7,1100.0,3,22.72727273,49,18.74380165,8,8.0,65.72727273,74,27.07438017,87,87.0,2073.2,743.1338843,2128.0,13,5.785123967,4,1.619834711,2.630909091,0,1.851239669,2,0.694214876,2,0.0,0.0,5.090909091,3,3,6.0,1.272727273,2,2.0,3.090909091,9,3.933884298,0.0,4.363636364,7,3.008264463,2,16.72,27.7925,9.691818182,9.105,9.105,0.0,194,1,1.75
La2Zr2O7,1300.0,3,22.72727273,49,18.74380165,8,8.0,65.72727273,74,27.07438017,87,87.0,2073.2,743.1338843,2128.0,13,5.785123967,4,1.619834711,2.630909091,0,1.851239669,2,0.694214876,2,0.0,0.0,5.090909091,3,3,6.0,1.272727273,2,2.0,3.090909091,9,3.933884298,0.0,4.363636364,7,3.008264463,2,16.72,27.7925,9.691818182,9.105,9.105,0.0,194,1,1.6
LaYbZr2O7,298.0,4,23.90909091,62,20.24793388,8,8.0,68.09090909,74,24.0661157,87,87.0,2073.2,731.4479339,2128.0,13,5.785123967,4,1.619834711,2.645454545,0,1.851239669,2,0.661157025,2,1.272727273,0.0,6.272727273,13,3,6.0,1.272727273,2,2.0,2.272727273,9,3.305785124,0.0,3.545454545,9,2.611570248,0,16.4675,27.7925,9.370454545,9.105,9.105,0.0,225,1,1.3
LaYbZr2O7,500.0,4,23.90909091,62,20.24793388,8,8.0,68.09090909,74,24.0661157,87,87.0,2073.2,731.4479339,2128.0,13,5.785123967,4,1.619834711,2.645454545,0,1.851239669,2,0.661157025,2,1.272727273,0.0,6.272727273,13,3,6.0,1.272727273,2,2.0,2.272727273,9,3.305785124,0.0,3.545454545,9,2.611570248,0,16.4675,27.7925,9.370454545,9.105,9.105,0.0,225,1,1.4
LaYbZr2O7,700.0,4,23.90909091,62,20.24793388,8,8.0,68.09090909,74,24.0661157,87,87.0,2073.2,731.4479339,2128.0,13,5.785123967,4,1.619834711,2.645454545,0,1.851239669,2,0.661157025,2,1.272727273,0.0,6.272727273,13,3,6.0,1.272727273,2,2.0,2.272727273,9,3.305785124,0.0,3.545454545,9,2.611570248,0,16.4675,27.7925,9.370454545,9.105,9.105,0.0,225,1,1.45
LaYbZr2O7,900.0,4,23.90909091,62,20.24793388,8,8.0,68.09090909,74,24.0661157,87,87.0,2073.2,731.4479339,2128.0,13,5.785123967,4,1.619834711,2.645454545,0,1.851239669,2,0.661157025,2,1.272727273,0.0,6.272727273,13,3,6.0,1.272727273,2,2.0,2.272727273,9,3.305785124,0.0,3.545454545,9,2.611570248,0,16.4675,27.7925,9.370454545,9.105,9.105,0.0,225,1,1.4
LaYbZr2O7,1100.0,4,23.90909091,62,20.24793388,8,8.0,68.09090909,74,24.0661157,87,87.0,2073.2,731.4479339,2128.0,13,5.785123967,4,1.619834711,2.645454545,0,1.851239669,2,0.661157025,2,1.272727273,0.0,6.272727273,13,3,6.0,1.272727273,2,2.0,2.272727273,9,3.305785124,0.0,3.545454545,9,2.611570248,0,16.4675,27.7925,9.370454545,9.105,9.105,0.0,225,1,1.35
La0.4Nd0.4Sm0.4Gd0.4Yb0.4Zr2O7,298.0,7,23.74545455,62,20.03966942,8,8.0,67.76363636,74,24.48264463,87,87.0,2073.2,768.3570248,2128.0,13,5.785123967,4,1.619834711,2.644363636,0,1.851239669,2,0.650578512,2,1.127272727,0.0,6.109090909,13,3,6.0,1.272727273,2,2.0,2.109090909,9,3.14446281,0.909090909,4.290909091,16,3.227768595,0,16.23345455,27.7925,9.072578512,9.105,9.105,0.0,225,1,1.6
La0.4Nd0.4Sm0.4Gd0.4Yb0.4Zr2O7,500.0,7,23.74545455,62,20.03966942,8,8.0,67.76363636,74,24.48264463,87,87.0,2073.2,768.3570248,2128.0,13,5.785123967,4,1.619834711,2.644363636,0,1.851239669,2,0.650578512,2,1.127272727,0.0,6.109090909,13,3,6.0,1.272727273,2,2.0,2.109090909,9,3.14446281,0.909090909,4.290909091,16,3.227768595,0,16.23345455,27.7925,9.072578512,9.105,9.105,0.0,225,1,1.4
La0.4Nd0.4Sm0.4Gd0.4Yb0.4Zr2O7,700.0,7,23.74545455,62,20.03966942,8,8.0,67.76363636,74,24.48264463,87,87.0,2073.2,768.3570248,2128.0,13,5.785123967,4,1.619834711,2.644363636,0,1.851239669,2,0.650578512,2,1.127272727,0.0,6.109090909,13,3,6.0,1.272727273,2,2.0,2.109090909,9,3.14446281,0.909090909,4.290909091,16,3.227768595,0,16.23345455,27.7925,9.072578512,9.105,9.105,0.0,225,1,1.35
La0.4Nd0.4Sm0.4Gd0.4Yb0.4Zr2O7,900.0,7,23.74545455,62,20.03966942,8,8.0,67.76363636,74,24.48264463,87,87.0,2073.2,768.3570248,2128.0,13,5.785123967,4,1.619834711,2.644363636,0,1.851239669,2,0.650578512,2,1.127272727,0.0,6.109090909,13,3,6.0,1.272727273,2,2.0,2.109090909,9,3.14446281,0.909090909,4.290909091,16,3.227768595,0,16.23345455,27.7925,9.072578512,9.105,9.105,0.0,225,1,1.2
La0.4Nd0.4Sm0.4Gd0.4Yb0.4Zr2O7,1100.0,7,23.74545455,62,20.03966942,8,8.0,67.76363636,74,24.48264463,87,87.0,2073.2,768.3570248,2128.0,13,5.785123967,4,1.619834711,2.644363636,0,1.851239669,2,0.650578512,2,1.127272727,0.0,6.109090909,13,3,6.0,1.272727273,2,2.0,2.109090909,9,3.14446281,0.909090909,4.290909091,16,3.227768595,0,16.23345455,27.7925,9.072578512,9.105,9.105,0.0,225,1,1.0
La0.4Nd0.4Sm0.4Gd0.4Yb0.4Zr2O7,1300.0,7,23.74545455,62,20.03966942,8,8.0,67.76363636,74,24.48264463,87,87.0,2073.2,768.3570248,2128.0,13,5.785123967,4,1.619834711,2.644363636,0,1.851239669,2,0.650578512,2,1.127272727,0.0,6.109090909,13,3,6.0,1.272727273,2,2.0,2.109090909,9,3.14446281,0.909090909,4.290909091,16,3.227768595,0,16.23345455,27.7925,9.072578512,9.105,9.105,0.0,225,1,0.9
La0.66Sm0.66Yb0.66Zr2O7,298.0,5,23.74681239,62,20.07790286,8,8.0,67.98724954,74,24.24212262,87,87.0,2073.2,747.1088683,2128.0,13,5.776025959,4,1.616451173,2.647522769,0,1.848699905,2,0.643183002,2,1.202185792,0.0,6.176684882,13,3,6.0,1.275045537,2,2.0,1.998178506,9,3.02820495,0.480874317,3.754098361,9,2.687867658,0,16.29584244,27.7925,9.168651564,9.105,9.105,0.0,225,0,1.65
La0.66Sm0.66Yb0.66Zr2O7,500.0,5,23.74681239,62,20.07790286,8,8.0,67.98724954,74,24.24212262,87,87.0,2073.2,747.1088683,2128.0,13,5.776025959,4,1.616451173,2.647522769,0,1.848699905,2,0.643183002,2,1.202185792,0.0,6.176684882,13,3,6.0,1.275045537,2,2.0,1.998178506,9,3.02820495,0.480874317,3.754098361,9,2.687867658,0,16.29584244,27.7925,9.168651564,9.105,9.105,0.0,225,0,1.6
La0.66Sm0.66Yb0.66Zr2O7,700.0,5,23.74681239,62,20.07790286,8,8.0,67.98724954,74,24.24212262,87,87.0,2073.2,747.1088683,2128.0,13,5.776025959,4,1.616451173,2.647522769,0,1.848699905,2,0.643183002,2,1.202185792,0.0,6.176684882,13,3,6.0,1.275045537,2,2.0,1.998178506,9,3.02820495,0.480874317,3.754098361,9,2.687867658,0,16.29584244,27.7925,9.168651564,9.105,9.105,0.0,225,0,1.5
La0.66Sm0.66Yb0.66Zr2O7,900.0,5,23.74681239,62,20.07790286,8,8.0,67.98724954,74,24.24212262,87,87.0,2073.2,747.1088683,2128.0,13,5.776025959,4,1.616451173,2.647522769,0,1.848699905,2,0.643183002,2,1.202185792,0.0,6.176684882,13,3,6.0,1.275045537,2,2.0,1.998178506,9,3.02820495,0.480874317,3.754098361,9,2.687867658,0,16.29584244,27.7925,9.168651564,9.105,9.105,0.0,225,0,1.45
La0.66Sm0.66Yb0.66Zr2O7,1100.0,5,23.74681239,62,20.07790286,8,8.0,67.98724954,74,24.24212262,87,87.0,2073.2,747.1088683,2128.0,13,5.776025959,4,1.616451173,2.647522769,0,1.848699905,2,0.643183002,2,1.202185792,0.0,6.176684882,13,3,6.0,1.275045537,2,2.0,1.998178506,9,3.02820495,0.480874317,3.754098361,9,2.687867658,0,16.29584244,27.7925,9.168651564,9.105,9.105,0.0,225,0,1.4
La0.66Sm0.66Yb0.66Zr2O7,1300.0,5,23.74681239,62,20.07790286,8,8.0,67.98724954,74,24.24212262,87,87.0,2073.2,747.1088683,2128.0,13,5.776025959,4,1.616451173,2.647522769,0,1.848699905,2,0.643183002,2,1.202185792,0.0,6.176684882,13,3,6.0,1.275045537,2,2.0,1.998178506,9,3.02820495,0.480874317,3.754098361,9,2.687867658,0,16.29584244,27.7925,9.168651564,9.105,9.105,0.0,225,0,1.3
Yb2Zr2O7,298.0,3,25.09090909,62,21.75206612,8,8.0,70.45454545,48,21.05785124,87,87.0,2073.2,719.7619835,2128.0,13,5.785123967,4,1.619834711,2.66,0,1.851239669,2,0.595041322,2,2.545454545,0.0,7.454545455,12,4,6.0,1.272727273,2,2.0,1.454545455,8,2.380165289,0.0,2.727272727,8,1.917355372,0,16.215,25.015,9.049090909,9.105,9.105,0.0,225,1,2.2
Yb2Zr2O7,500.0,3,25.09090909,62,21.75206612,8,8.0,70.45454545,48,21.05785124,87,87.0,2073.2,719.7619835,2128.0,13,5.785123967,4,1.619834711,2.66,0,1.851239669,2,0.595041322,2,2.545454545,0.0,7.454545455,12,4,6.0,1.272727273,2,2.0,1.454545455,8,2.380165289,0.0,2.727272727,8,1.917355372,0,16.215,25.015,9.049090909,9.105,9.105,0.0,225,1,1.8
Yb2Zr2O7,700.0,3,25.09090909,62,21.75206612,8,8.0,70.45454545,48,21.05785124,87,87.0,2073.2,719.7619835,2128.0,13,5.785123967,4,1.619834711,2.66,0,1.851239669,2,0.595041322,2,2.545454545,0.0,7.454545455,12,4,6.0,1.272727273,2,2.0,1.454545455,8,2.380165289,0.0,2.727272727,8,1.917355372,0,16.215,25.015,9.049090909,9.105,9.105,0.0,225,1,1.75
Yb2Zr2O7,900.0,3,25.09090909,62,21.75206612,8,8.0,70.45454545,48,21.05785124,87,87.0,2073.2,719.7619835,2128.0,13,5.785123967,4,1.619834711,2.66,0,1.851239669,2,0.595041322,2,2.545454545,0.0,7.454545455,12,4,6.0,1.272727273,2,2.0,1.454545455,8,2.380165289,0.0,2.727272727,8,1.917355372,0,16.215,25.015,9.049090909,9.105,9.105,0.0,225,1,1.8
Yb2Zr2O7,1100.0,3,25.09090909,62,21.75206612,8,8.0,70.45454545,48,21.05785124,87,87.0,2073.2,719.7619835,2128.0,13,5.785123967,4,1.619834711,2.66,0,1.851239669,2,0.595041322,2,2.545454545,0.0,7.454545455,12,4,6.0,1.272727273,2,2.0,1.454545455,8,2.380165289,0.0,2.727272727,8,1.917355372,0,16.215,25.015,9.049090909,9.105,9.105,0.0,225,1,2.1
Yb2Zr2O7,1300.0,3,25.09090909,62,21.75206612,8,8.0,70.45454545,48,21.05785124,87,87.0,2073.2,719.7619835,2128.0,13,5.785123967,4,1.619834711,2.66,0,1.851239669,2,0.595041322,2,2.545454545,0.0,7.454545455,12,4,6.0,1.272727273,2,2.0,1.454545455,8,2.380165289,0.0,2.727272727,8,1.917355372,0,16.215,25.015,9.049090909,9.105,9.105,0.0,225,1,2.2
Sm0.4Eu0.4Tb0.4Dy0.4Lu0.4Zr2O7,1273.0,7,24.25454545,63,20.68760331,8,8.0,68.78181818,64,23.18677686,87,87.0,2073.2,822.968595,2128.0,13,5.785123967,4,1.619834711,2.651090909,0,1.851239669,2,0.625454545,2,1.672727273,0.0,6.618181818,13,4,6.0,1.272727273,2,2.0,1.781818182,9,2.786115702,0.872727273,3.927272727,7,2.452892562,2,15.88524242,27.355,8.629399449,9.105,9.105,0.0,229,1,0.86
Sm0.4Eu0.4Tb0.4Dy0.4Lu0.4Zr2O7,300.0,7,24.25454545,63,20.68760331,8,8.0,68.78181818,64,23.18677686,87,87.0,2073.2,822.968595,2128.0,13,5.785123967,4,1.619834711,2.651090909,0,1.851239669,2,0.625454545,2,1.672727273,0.0,6.618181818,13,4,6.0,1.272727273,2,2.0,1.781818182,9,2.786115702,0.872727273,3.927272727,7,2.452892562,2,15.88524242,27.355,8.629399449,9.105,9.105,0.0,229,1,1.45
Sm0.4Eu0.4Tb0.4Dy0.4Lu0.4Zr2O7,500.0,7,24.25454545,63,20.68760331,8,8.0,68.78181818,64,23.18677686,87,87.0,2073.2,822.968595,2128.0,13,5.785123967,4,1.619834711,2.651090909,0,1.851239669,2,0.625454545,2,1.672727273,0.0,6.618181818,13,4,6.0,1.272727273,2,2.0,1.781818182,9,2.786115702,0.872727273,3.927272727,7,2.452892562,2,15.88524242,27.355,8.629399449,9.105,9.105,0.0,229,1,1.2
Sm0.4Eu0.4Tb0.4Dy0.4Lu0.4Zr2O7,700.0,7,24.25454545,63,20.68760331,8,8.0,68.78181818,64,23.18677686,87,87.0,2073.2,822.968595,2128.0,13,5.785123967,4,1.619834711,2.651090909,0,1.851239669,2,0.625454545,2,1.672727273,0.0,6.618181818,13,4,6.0,1.272727273,2,2.0,1.781818182,9,2.786115702,0.872727273,3.927272727,7,2.452892562,2,15.88524242,27.355,8.629399449,9.105,9.105,0.0,229,1,1.1
Sm0.4Eu0.4Tb0.4Dy0.4Lu0.4Zr2O7,900.0,7,24.25454545,63,20.68760331,8,8.0,68.78181818,64,23.18677686,87,87.0,2073.2,822.968595,2128.0,13,5.785123967,4,1.619834711,2.651090909,0,1.851239669,2,0.625454545,2,1.672727273,0.0,6.618181818,13,4,6.0,1.272727273,2,2.0,1.781818182,9,2.786115702,0.872727273,3.927272727,7,2.452892562,2,15.88524242,27.355,8.629399449,9.105,9.105,0.0,229,1,1.0
Sm0.4Eu0.4Tb0.4Dy0.4Lu0.4Zr2O7,1100.0,7,24.25454545,63,20.68760331,8,8.0,68.78181818,64,23.18677686,87,87.0,2073.2,822.968595,2128.0,13,5.785123967,4,1.619834711,2.651090909,0,1.851239669,2,0.625454545,2,1.672727273,0.0,6.618181818,13,4,6.0,1.272727273,2,2.0,1.781818182,9,2.786115702,0.872727273,3.927272727,7,2.452892562,2,15.88524242,27.355,8.629399449,9.105,9.105,0.0,229,1,0.8
Sm0.66Eu0.66Dy0.66Zr2O7,298.0,5,23.86703097,58,20.23118702,8,8.0,68.2276867,64,23.93555429,87,87.0,2073.2,785.0466986,2128.0,13,5.776025959,4,1.616451173,2.650227687,0,1.848699905,2,0.595883889,2,1.382513661,0.0,6.296903461,8,4,6.0,1.275045537,2,2.0,1.4571949,8,2.383535556,1.142076503,3.87431694,6,2.38983945,2,16.09642987,27.355,8.914391459,9.105,9.105,0.0,229,0,1.9
Sm0.66Eu0.66Dy0.66Zr2O7,500.0,5,23.86703097,58,20.23118702,8,8.0,68.2276867,64,23.93555429,87,87.0,2073.2,785.0466986,2128.0,13,5.776025959,4,1.616451173,2.650227687,0,1.848699905,2,0.595883889,2,1.382513661,0.0,6.296903461,8,4,6.0,1.275045537,2,2.0,1.4571949,8,2.383535556,1.142076503,3.87431694,6,2.38983945,2,16.09642987,27.355,8.914391459,9.105,9.105,0.0,229,0,1.7
Sm0.66Eu0.66Dy0.66Zr2O7,700.0,5,23.86703097,58,20.23118702,8,8.0,68.2276867,64,23.93555429,87,87.0,2073.2,785.0466986,2128.0,13,5.776025959,4,1.616451173,2.650227687,0,1.848699905,2,0.595883889,2,1.382513661,0.0,6.296903461,8,4,6.0,1.275045537,2,2.0,1.4571949,8,2.383535556,1.142076503,3.87431694,6,2.38983945,2,16.09642987,27.355,8.914391459,9.105,9.105,0.0,229,0,1.6
Sm0.66Eu0.66Dy0.66Zr2O7,900.0,5,23.86703097,58,20.23118702,8,8.0,68.2276867,64,23.93555429,87,87.0,2073.2,785.0466986,2128.0,13,5.776025959,4,1.616451173,2.650227687,0,1.848699905,2,0.595883889,2,1.382513661,0.0,6.296903461,8,4,6.0,1.275045537,2,2.0,1.4571949,8,2.383535556,1.142076503,3.87431694,6,2.38983945,2,16.09642987,27.355,8.914391459,9.105,9.105,0.0,229,0,1.55
Sm0.66Eu0.66Dy0.66Zr2O7,1100.0,5,23.86703097,58,20.23118702,8,8.0,68.2276867,64,23.93555429,87,87.0,2073.2,785.0466986,2128.0,13,5.776025959,4,1.616451173,2.650227687,0,1.848699905,2,0.595883889,2,1.382513661,0.0,6.296903461,8,4,6.0,1.275045537,2,2.0,1.4571949,8,2.383535556,1.142076503,3.87431694,6,2.38983945,2,16.09642987,27.355,8.914391459,9.105,9.105,0.0,229,0,1.5
Sm0.66Eu0.66Dy0.66Zr2O7,1300.0,5,23.86703097,58,20.23118702,8,8.0,68.2276867,64,23.93555429,87,87.0,2073.2,785.0466986,2128.0,13,5.776025959,4,1.616451173,2.650227687,0,1.848699905,2,0.595883889,2,1.382513661,0.0,6.296903461,8,4,6.0,1.275045537,2,2.0,1.4571949,8,2.383535556,1.142076503,3.87431694,6,2.38983945,2,16.09642987,27.355,8.914391459,9.105,9.105,0.0,229,0,1.45
Zr0.92O1.84Y0.16O0.24,298.0,3,18.88607595,32,14.33103669,8,8.0,70.6835443,75,21.47989104,87,87.0,2073.2,910.8606954,2128.0,13,5.465790739,3,1.349783689,2.713291139,0,1.799711585,2,0.833199808,2,0.0,0.0,5.265822785,3,3,6.0,1.316455696,2,2.0,2.784810127,9,3.666079154,0.0,4.101265823,7,2.766223362,2,14.38487342,23.26,6.950719436,9.105,9.105,0.0,194,1,2.02
