composition,temperature,NComp,mean_Number,maxdiff_Number,dev_Number,min_Number,most_Number,mean_MendeleevNumber,maxdiff_MendeleevNumber,dev_MendeleevNumber,max_MendeleevNumber,most_MendeleevNumber,maxdiff_MeltingT,dev_MeltingT,max_MeltingT,maxdiff_Column,dev_Column,maxdiff_Row,dev_Row,mean_Electronegativity,maxdiff_NsValence,dev_NpValence,maxdiff_NdValence,dev_NdValence,max_NdValence,mean_NfValence,most_NfValence,mean_NValance,maxdiff_NValance,min_NValance,most_NValance,mean_NpUnfilled,maxdiff_NpUnfilled,most_NpUnfilled,mean_NdUnfilled,maxdiff_NdUnfilled,dev_NdUnfilled,mean_NfUnfilled,mean_NUnfilled,maxdiff_NUnfilled,dev_NUnfilled,min_NUnfilled,mean_GSvolume_pa,maxdiff_GSvolume_pa,dev_GSvolume_pa,min_GSvolume_pa,most_GSvolume_pa,most_GSbandgap,max_SpaceGroupNumber,CanFormIonic,thermal_conductivity
Hf0.2Ta0.2Ti0.2Nb0.2Mo0.2C,298.15,6,28.0,67,23.2,6,6.0,61.8,34,15.2,77,77.0,1882.0,581.24,3823.0,10,4.6,4,1.6,2.085,1,1.0,5,1.6,5,2.8,0.0,7.2,15,4,4.0,2.0,4,4.0,3.4,8,3.4,0.0,5.6,4,1.6,4,11.908,16.56,6.268,5.64,5.64,4.496,229,1,5.9
La0.4Ce0.4Nd0.4Sm0.4Eu0.4Zr2O7,298.15,7,23.27272727,55,19.43801653,8,8.0,66.81818182,74,25.68595041,87,87.0,2073.2,744.661157,2128.0,13,5.785123967,4,1.619834711,2.638727273,0,1.851239669,2,0.650578512,2,0.654545455,0.0,5.636363636,6,3,6.0,1.272727273,2,2.0,2.109090909,9,3.14446281,1.381818182,4.763636364,20,3.517355372,2,16.50727273,28.135,9.42107438,9.105,9.105,0.0,229,1,0.76
La0.2Ce0.2Nd0.2Sm0.2Eu0.2PO4,298.15,7,17.83333333,55,14.05555556,8,8.0,75.0,74,18.66666667,87,87.0,1290.2,312.7333333,1345.0,13,3.555555556,4,1.111111111,2.848833333,0,1.111111111,1,0.124444444,1,0.6,0.0,5.833333333,6,3,6.0,1.833333333,3,2.0,0.6,9,1.12,1.266666667,3.7,20,2.5,2,15.78628968,28.135,8.908386243,9.105,9.105,0.0,229,1,2.08
LaPO4,298.15,3,17.33333333,49,13.22222222,8,8.0,74.0,74,20.33333333,87,87.0,1138.2,311.2666667,1193.0,13,3.555555556,4,1.111111111,2.841666667,0,1.111111111,1,0.277777778,1,0.0,0.0,5.333333333,3,3,6.0,1.833333333,3,2.0,1.5,9,2.5,0.0,3.333333333,7,1.888888889,2,15.98128968,27.7925,9.168386243,9.105,9.105,0.0,194,1,3.61
CePO4,298.15,3,17.5,50,13.5,8,8.0,74.33333333,72,19.77777778,87,87.0,1016.2,284.1555556,1071.0,13,3.555555556,4,1.111111111,2.845,0,1.111111111,1,0.277777778,1,0.166666667,0.0,5.5,2,4,6.0,1.833333333,3,2.0,1.5,9,2.5,2.166666667,5.5,20,5.5,2,16.03837302,28.135,9.244497354,9.105,9.105,0.0,194,1,3.14
NdPO4,298.15,3,17.83333333,52,14.05555556,8,8.0,75.0,68,18.66666667,87,87.0,1239.2,333.7111111,1294.0,13,3.555555556,4,1.111111111,2.848333333,0,1.111111111,0,0.0,0,0.666666667,0.0,5.833333333,1,5,6.0,1.833333333,3,2.0,0.0,0,0.0,1.666666667,3.5,8,2.166666667,2,15.63337302,25.705,8.704497354,9.105,9.105,0.0,194,1,3.05
SmPO4,298.15,3,18.16666667,54,14.61111111,8,8.0,75.66666667,64,17.55555556,87,87.0,1290.2,345.0444444,1345.0,13,3.555555556,4,1.111111111,2.853333333,0,1.111111111,0,0.0,0,1.0,0.0,6.166666667,3,5,6.0,1.833333333,3,2.0,0.0,0,0.0,1.333333333,3.166666667,6,1.611111111,2,15.37003968,24.125,8.353386243,9.105,9.105,0.0,166,1,2.87
EuPO4,298.15,3,18.33333333,55,14.88888889,8,8.0,76.0,62,17.0,87,87.0,1040.2,289.4888889,1095.0,13,3.555555556,4,1.111111111,2.855833333,0,1.111111111,0,0.0,0,1.166666667,0.0,6.333333333,4,5,6.0,1.833333333,3,2.0,0.0,0,0.0,1.166666667,3.0,5,1.333333333,2,15.90837302,27.355,9.071164021,9.105,9.105,0.0,229,1,2.99
Mo0.2Nb0.2Ta0.2Ti0.2W0.2Si2,298.15,6,26.13333333,60,16.72888889,14,14.0,67.93333333,35,13.42222222,78,78.0,2008.0,566.1955556,3695.0,10,3.911111111,3,0.977777778,1.877333333,1,0.888888889,5,1.6,5,1.866666667,0.0,6.266666667,16,4,4.0,2.666666667,4,4.0,2.133333333,8,2.844444444,0.0,4.933333333,4,1.244444444,4,19.27533333,4.75,1.552888889,15.69,20.44,0.773,229,0,6.9
MoSi2,313.15,2,23.33333333,28,12.44444444,14,14.0,68.66666667,28,12.44444444,78,78.0,1209.0,537.3333333,2896.0,8,3.555555556,2,0.888888889,1.986666667,1,0.888888889,5,2.222222222,5,0.0,0.0,4.666666667,2,4,4.0,2.666666667,4,4.0,1.666666667,5,2.222222222,0.0,4.666666667,2,0.888888889,4,18.85666667,4.75,2.111111111,15.69,20.44,0.773,229,0,65.0
VC,313.15,2,14.5,17,8.5,6,14.5,61.5,31,15.5,77,61.5,1640.0,820.0,3823.0,9,4.5,2,1.0,2.09,0,1.0,3,1.5,3,0.0,0.0,4.5,1,4,4.5,2.0,4,2.0,3.5,7,3.5,0.0,5.5,3,1.5,4,9.325,7.37,3.685,5.64,9.325,2.248,229,1,19.1
TaSi2,313.15,2,33.66666667,59,26.22222222,14,14.0,68.0,30,13.33333333,78,78.0,1603.0,712.4444444,3290.0,9,4.0,3,1.333333333,1.766666667,0,0.888888889,3,1.333333333,3,4.666666667,0.0,9.0,15,4,4.0,2.666666667,4,4.0,2.333333333,7,3.111111111,0.0,5.0,3,1.333333333,4,19.66666667,2.32,1.031111111,18.12,20.44,0.773,229,0,21.9
TiSi2,313.15,2,16.66666667,8,3.555555556,14,14.0,66.33333333,35,15.55555556,78,78.0,254.0,112.8888889,1941.0,10,4.444444444,1,0.444444444,1.78,0,0.888888889,2,0.888888889,2,0.0,0.0,4.0,0,4,4.0,2.666666667,4,4.0,2.666666667,8,3.555555556,0.0,5.333333333,4,1.777777778,4,19.19,3.75,1.666666667,16.69,20.44,0.773,227,0,45.9
WSi2,313.15,2,34.0,60,26.66666667,14,14.0,69.0,27,12.0,78,78.0,2008.0,892.4444444,3695.0,8,3.555555556,3,1.333333333,2.053333333,0,0.888888889,4,1.777777778,4,4.666666667,0.0,9.333333333,16,4,4.0,2.666666667,4,4.0,2.0,6,2.666666667,0.0,4.666666667,2,0.888888889,4,18.97666667,4.39,1.951111111,16.05,20.44,0.773,229,0,46.9
Mo0.2Ta0.2Ni0.2Cr0.2W0.2B,673.15,6,26.6,69,22.12,5,5.0,61.9,24,10.1,72,72.0,1967.0,444.46,3695.0,8,3.24,4,1.5,1.979,1,0.5,8,2.5,8,2.8,0.0,7.6,17,3,3.0,2.5,5,5.0,2.5,7,2.6,0.0,5.2,5,0.84,2,10.72325,10.9475,3.6314,7.1725,7.1725,1.524,229,0,2.05
MoB,673.15,2,23.5,37,18.5,5,23.5,61.0,22,11.0,72,61.0,548.0,274.0,2896.0,7,3.5,3,1.5,2.1,1,0.5,5,2.5,5,0.0,0.0,4.5,3,3,4.5,2.5,5,2.5,2.5,5,2.5,0.0,5.5,1,0.5,5,11.43125,8.5175,4.25875,7.1725,11.43125,0.762,229,0,9.67
CrB,673.15,2,14.5,19,9.5,5,14.5,60.5,23,11.5,72,60.5,168.0,84.0,2348.0,7,3.5,2,1.0,1.85,1,0.5,5,2.5,5,0.0,0.0,4.5,3,3,4.5,2.5,5,2.5,2.5,5,2.5,0.0,5.5,1,0.5,5,9.18125,4.0175,2.00875,7.1725,9.18125,0.762,229,0,12.0
WB,673.15,2,39.5,69,34.5,5,39.5,61.5,21,10.5,72,61.5,1347.0,673.5,3695.0,7,3.5,4,2.0,2.2,0,0.5,4,2.0,4,7.0,7.0,11.5,17,3,11.5,2.5,5,2.5,3.0,6,3.0,0.0,5.5,1,0.5,5,11.61125,8.8775,4.43875,7.1725,11.61125,0.762,229,0,9.57
TiP2O7,298.15,3,10.8,14,3.92,8,8.0,81.8,44,7.76,87,87.0,1886.2,337.568,1941.0,12,2.12,2,0.56,3.0,0,0.84,2,0.36,2,0.0,0.0,5.6,2,4,6.0,2.0,3,2.0,0.8,8,1.44,0.0,2.8,6,1.12,2,12.55654762,13.4652381,4.832166667,9.105,9.105,0.0,194,1,1.08
ZrP2O7,298.15,3,12.6,32,6.44,8,8.0,81.9,43,7.58,87,87.0,2073.2,363.748,2128.0,12,2.12,3,0.7,2.979,0,0.84,2,0.36,2,0.0,0.0,5.6,2,4,6.0,2.0,3,2.0,0.8,8,1.44,0.0,2.8,6,1.12,2,13.20704762,14.09,5.742866667,9.105,9.105,0.0,194,1,0.92
HfP2O7,298.15,3,15.8,64,11.24,8,8.0,82.0,42,7.4,87,87.0,2451.2,430.716,2506.0,12,2.12,4,0.84,2.976,0,0.84,2,0.36,2,1.4,0.0,7.0,13,5,6.0,2.0,3,2.0,0.8,8,1.44,0.0,2.8,6,1.12,2,13.10754762,13.4652381,5.603566667,9.105,9.105,0.0,194,1,0.79
TiZrHfP2O7,298.15,5,18.33333333,64,13.16666667,8,8.0,75.58333333,44,15.79166667,87,87.0,2451.2,779.45,2506.0,12,4.416666667,4,1.069444444,2.719166667,0,1.416666667,2,0.75,2,1.166666667,0.0,6.5,14,4,6.0,1.666666667,3,2.0,2.0,8,3.0,0.0,3.666666667,6,2.166666667,2,14.24670635,14.09,5.998657407,9.105,9.105,0.0,194,0,0.78
Y0.6Yb0.6Lu0.6Eu0.6Er0.6Al5O12,300.0,7,17.38,63,13.446,8,8.0,75.01,75,14.388,87,87.0,1881.2,530.649,1936.0,13,3.24,4,0.984,2.65175,0,1.62,1,0.1128,1,1.41,0.0,6.12,14,3,6.0,2.45,5,2.0,0.54,9,1.0152,0.27,3.26,9,1.7832,0,14.45485,27.355,6.41982,9.105,9.105,0.0,229,1,3.81
Yb3Al5O12,300.0,3,18.55,62,15.435,8,8.0,76.3,48,12.84,87,87.0,1037.2,450.297,1092.0,13,3.24,4,1.02,2.6555,0,1.62,0,0.0,0,2.1,0.0,6.75,13,3,6.0,2.45,5,2.0,0.0,0,0.0,0.0,2.45,5,1.275,0,14.701,25.015,6.7152,9.105,9.105,0.0,225,1,4.67
Y3Al5O12,300.0,3,13.9,31,7.53,8,8.0,72.25,75,18.075,87,87.0,1744.2,577.557,1799.0,13,3.24,3,0.84,2.6495,0,1.62,1,0.255,1,0.0,0.0,4.8,3,3,6.0,2.45,5,2.0,1.35,9,2.295,0.0,3.8,7,2.16,2,14.43775,23.26,6.3993,9.105,9.105,0.0,225,1,11.2
ZrC,298.15,2,23.0,34,17.0,6,23.0,60.5,33,16.5,77,60.5,1695.0,847.5,3823.0,10,5.0,3,1.5,1.94,0,1.0,2,1.0,2,0.0,0.0,4.0,0,4,4.0,2.0,4,2.0,4.0,8,4.0,0.0,6.0,4,2.0,4,14.4175,17.555,8.7775,5.64,14.4175,2.248,194,1,33.5
NbC,298.15,2,23.5,35,17.5,6,23.5,62.0,30,15.0,77,62.0,1073.0,536.5,3823.0,9,4.5,3,1.5,2.075,1,1.0,4,2.0,4,0.0,0.0,4.5,1,4,4.5,2.0,4,2.0,3.0,6,3.0,0.0,5.5,3,1.5,4,11.91,12.54,6.27,5.64,11.91,2.248,229,0,16.3
