mp_id,formula,e_above_hull,nsites,target_value
mp-1019530,,,0,7.218071735
mp-2931,,,0,22.71383732
mp-540788,,,0,5.94187236
mp-6793,,,0,25.03680006
mp-12147,,,0,15.37724222
mp-2963,,,0,9.276977017
mp-23018,,,0,20.74610545
mp-23506,,,0,71.1340012
mp-5132,,,0,8.375859343
mp-19479,,,0,8.793030187
mp-18220,,,0,4.990418559
mp-551741,,,0,8.458030693
mp-561305,,,0,12.65499434
mp-21568,,,0,20.72976372
mp-5616,,,0,7.341550603
mp-4609,,,0,7.45359165
mp-1226851,,,0,48.84139576
mp-18918,,,0,18.9085386
mp-23549,,,0,10.91073467
mp-561237,,,0,9.28999531
mp-23127,,,0,30.69619917
mp-15904,,,0,19.34606239
mp-19039,,,0,11.28621622
mp-1216787,,,0,39.02032392
mp-1195152,,,0,11.28653058
mp-19330,,,0,10.05711153
mp-19163,,,0,8.470331894
mp-15743,,,0,15.32002889
mp-3378,,,0,35.09888319
mp-3901,,,0,25.79453773
mp-972216,,,0,17.30760179
mp-560261,,,0,46.18187657
mp-22100,,,0,19.72050254
